cogid,concept_id,concept,BeChengmaiMY,BeChengmaiYL,BeHaikouCL,BeHaikouRS,BeJizhao,BeLinGaoLC,BeLinGaoXY,BeQiongshanLQ,BeQiongshanLT,HlaiBaisha,HlaiBaoding,HlaiBaoting,HlaiChangjiang,HlaiCun,HlaiHeitu,HlaiJiamao,HlaiNadou,HlaiQiandui,HlaiTongza,HlaiXifang,HlaiYuanmen,HlaiZhongsha,KraBuyangBH,KraBuyangEC,KraBuyangLJ,KraBuyangYR,KraGelaoAS,KraGelaoDF,KraGelaoMJ,KraGelaoZF,KraLachi,KraLaha,KraPubiao,KsBiao,KsChadong,KsJin,KsKamJP,KsKamLP,KsKamRJ,KsKamTZ,KsLakkia,KsMak,KsMaonan,KsMulam,KsSuiDS,KsSuiDY,KsSuiLB,KsSuiSD,KsThen,TcCaoBanTai,TcDaxin,TcDebao,TcFusui,TcLongAn,TcLongzhou,TcQinzhou,TcShangsi,TcWenma,TcYanshan,TcYongning,TnDonglan,TnDuAn,TnFengshan,TnHengxian,TnHuishui,TnLianshan,TnLibo,TnLiujiang,TnLuodian,TnPanxian,TnPingguo,TnQianxi,TnQiubei,TnSaek,TnShuicheng,TnTiandong,TnWuming,TnZhenfeng,TnZhenning,TswAhom,TswAiton,TswBangkok,TswChiangmai,TswHsipaw,TswJinghong,TswJinping,TswJinsha,TswKhuen,TswKorat,TswLao,TswLuchun,TswMaguan,TswMangshi,TswMenglian,TswNgheAn,TswPhake,TswSongkhla,TswTaunggyi,TswThaiTrang,TswWuding,TswYuanjiang,TswYuanyang
N001,S002,ashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuk7,vok9,,phuk9,phuk9',,,vuk7,vuʔ5,,phʊp7,vok7,ɣʊk7,vʊk7,vuk10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N002,S002,ashes,ɗɔu4,ɗɔu4,ɗeu4,ɗɔu4,,ɗɔu4,ɗɔu4,ɗɔu4,ɗɔu4,tshaw3,taw3,taw3,,tθay3,tow3,,,taw3,taw3,saw3,tshaw3,taw3,du33,ma0tu53,qa0tu11,taːi24,ta3,to4te3,pe2tu1,pa4tau4,te33,thəu32,pei53tau213,phau3,,,pu33,,,pu3',plɛu4,,,pu1,,,,,,dəu1,sau6,tau6,tau6,tau6,piau6,tau6,tau6,tau6,tau6,tau6,tau6,tau6,tau6,tau6,tɑu5,tau6,tɑu6,tau6,tɑu6,tɑu6,tau6,tɑu6,tau6,thaw53,tɯ6,tau6,tau6,tɑu6,tɑu6,tau,tau2,khi3thau3,khi5tau5,tau4,tau6,tau6,tau6,khi6tau4,khi4thau4,khiː5thaw3,tau4,tau6,tau6,tâu6,taːu5,tau⁵,khi5thaːu5,xi4tau4,tau1,tâu6,tau6,tau3
N003,S004,belly,,,hoŋ4,hoŋ4,thɔŋ1,,,hoŋ4,hoŋ4,,,,,,,,,,,,,,,,qa0luŋ54,,,pa42ɬjuŋ42,,ka4luŋ1,na55njuŋ33,puG24loG32,lhoŋ53,,luŋ2,loŋ2,,loŋ2,loŋ2,,,loŋ2,lɔŋ2,lɔŋ2po6,lɔːŋ2,lɔɐŋ2,loɐŋ2,lɔŋ2,lɔːŋ2,,thoːŋ3,toːŋ4,tuŋ3,tuŋ4,toːŋ4,tuŋ4,toŋ4,duŋ4,tɔːŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tuŋ4,toŋ4,thuŋ6,tuŋ3,tuŋ4,tuŋ4,tuŋ4,tuŋ4,tong,,thɔːŋ4,,,tɔŋ4,tɔŋ4,naŋ1tuaŋ5,na6tɔŋ5,thɔːŋ4,thɔːŋ4,toŋ4,tɔŋ4,tɔŋ4,tɔŋ4,,tauŋ⁴,,,,tɔŋ4,tɔŋ4,tɔŋ4
N004,S004,belly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phuŋ55,,,,,,,,phuŋ1,,,,,,,,,,,,,,,phuŋ3,,,,,
N005,S004,belly,ɓoʔ8,ɓoʔ8,,,,ɓoʔ8,ɓɔʔ8,,,pɔk8,pok7,pɔk8,pɔʔ7,ɓɔk4,mok7,,paʔ4,phoʔ8,pok8,pɔk7,pɔk8,(pok7),mɔk45,,,,,,,,,,m̥ok33,,,,,,,,,,,,,,,,,mok5,moːk7,moːk7,,,muk7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N006,S004,belly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pum2,,khi5pum1,pum3,,,,pum3,,,,,,,puːn1,pum²,,khi4pum3,pum1,,,
N007,S004,belly,,,,,,,,,,,,,,,,naːm31kəːm55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N008,S004,belly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ȵuŋ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N009,S005,big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma3,mak7/9,,maʔ9,bok7,,,,,,,,,,,,mɯːk9,,,müːk7/muːk7,baːk9,,,,,bɨk7,,,,puk7,,bɨk7,,,,,bək7,bɨk55,,,bɯk7,,,,,,,,,,,,,,,,,,,,,,,,,
N010,S005,big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lək8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N011,S005,big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kaːi5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke5,
N012,S005,big,,,,,,,,,,luŋ1,loŋ1,luŋ1,luŋ1,loŋ1,luŋ1,loː1,loŋ1,luŋ4,loŋ1,loŋ1,luŋ4,luŋ1,,,luːŋ24,luŋ33,,łjuŋ1,,li1paŋ4,,,,luŋ5,,,,,,,,,,,,,,,,,luːŋ1,luːŋ1,,huŋ1,luːŋ1,,,,,,,,,huŋ1,,,,,,,huŋ1,,,luaŋ2,,huŋ1,huŋ1,,,lung,,,,,loŋ1,loŋ1,,loːŋ4,,,loŋ1,loŋ1,loŋ1,loŋ1,,loŋ⁶,,,loːŋ1,loŋ1,luŋ1,luŋ1
N013,S005,big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qaːŋ4(provisional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N014,S005,big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laːu4,,lau4,laːu4,lau4,,laːu4,laːu4,lo4,laːu4,,laːu4,laːu4,laːu4,,,,laːu3,laːu4,,laːu4,laːu4,,,laːu4,laːu4,laːu4,laːu4,laːu4,lau4,,lau4,laːu4,lau4,lo5,,,laːu4,,lau3,laːu4,laːu4,lau4,lo4,,,,,,,,,,,,,,,,,,,,,,,
