#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution conditionOnRhoSampling="true" id="FBD.t:tree" spec="beast.evolution.speciation.SABirthDeathModel">
#            <parameter id="originFBD.t:tree" lower="0.0" name="origin" spec="beast.core.parameter.RealParameter">100.0</parameter>
#            <parameter id="diversificationRateFBD.t:tree" lower="0.0" name="diversificationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="turnoverFBD.t:tree" lower="0.0" name="turnover" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="samplingProportionFBD.t:tree" lower="0.0" name="samplingProportion" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="rFBD.t:tree" lower="0.0" name="removalProbability" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <parameter estimate="false" id="rhoFBD.t:tree" lower="0.0" name="rho" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <trait id="dateTrait.t:tree" spec="beast.evolution.tree.TraitSet" traitname="date-backward">
#Liangzhu=5.3,
#Meifu_Li=0,
#Qi_Li=0,
#Ha_Li=0,
#Run_Li=0,
#Tai_Yuan=0,
#Tai_Xam_Nuea=0,
#Tai_Isan=0,
#Tai_Mai_Chau=0,
#Tai_Lu_Nà_Tăm=0,
#Tai_Trang_Quan_Son=0,
#Tai_Trang_Ky_Son=0,
#Buyi_Xingyi=0,
#Zhuang_Jingxi=0,
#Dai_Huayao=0,
#Dai_Yuxi_Yuanjiang=0,
#Dai_Jinghong=0,
#Tai_Phake=0,
#Dai_Tengchong=0,
#Zhuang_Napo=0,
#Zhuang_Longzhou=0,
#Nung_An=0,
#Dong_Tongdao=0,
#Miao_Zhaoxing=0,
#Maonan_Hechi=0,
#Zhuang_Binyang=0,
#Buyi_Libo=0,
#Tay_Ban_Rang=0,
#Tay_Lung_Noi=0  
#                                <taxa id="TaxonSet.kd-looms_1111" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.kd-looms_1111"/>
#            </tree>
#        </distribution>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="diversificationRatePriorFBD.t:tree" name="distribution" x="@diversificationRateFBD.t:tree">
#            <Uniform id="Uniform.4" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:kd-looms_1111" name="distribution">
#            <parameter id="gammaShape.s:kd-looms_1111" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="originPriorFBD.t:tree" name="distribution" x="@originFBD.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="samplingProportionPriorFBD.t:tree" name="distribution" x="@samplingProportionFBD.t:tree">
#            <Uniform id="Uniform.6" name="distr"/>
#        </prior>
#        <prior id="turnoverPriorFBD.t:tree" name="distribution" x="@turnoverFBD.t:tree">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <distribution id="LZ.prior" spec="beast.math.distributions.MRCAPrior" tipsonly="true" tree="@Tree.t:tree">
#            <taxonset id="LZ" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Liangzhu" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.8" lower="4.3" name="distr" upper="5.3"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.kd-looms_1111" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree">
#            <data ascertained="true" data="@kd-looms_1111" excludeto="1" filter="::" id="bin.kd-looms_1111" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:kd-looms_1111" shape="@gammaShape.s:kd-looms_1111" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:kd-looms_1111" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kd-looms_1111" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:kd-looms_1111" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:kd-looms_1111" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:kd-looms_1111" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:kd-looms_1111" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_1111	TreeHeight.t:tree	mutationRate.s:kd-looms_1111	gammaShape.s:kd-looms_1111	freqParameter.s:kd-looms_1111.1	freqParameter.s:kd-looms_1111.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)
0	-4217.444481531089	-3636.16506390265	-581.2794176284385	-3636.16506390265	8.7168602930983	1.0	1.0	0.5	0.5	1.0	-580.2794176284385	1.0	0.5	0.5	100.0	0	0.0	5.3
10000	-2090.033074357309	-2039.9861923033245	-50.04688205398436	-2039.9861923033245	11.551066152074206	1.0	1.6739761485699178	0.5024223300231296	0.4975776699768704	0.03322842679359629	-48.37290590541444	0.2764294499725786	0.18909011070916323	0.22781669093558482	14.989014465529461	1	0.0	4.617039155763799
20000	-2067.6701821783095	-2023.2381055404794	-44.4320766378302	-2023.2381055404794	9.628093185973505	1.0	2.2332480506496863	0.5442980556542412	0.45570194434575884	0.0465176630501907	-42.198828587180515	0.26024679415348373	0.0132545071721668	0.6771333533386726	12.582412104494907	1	0.0	4.416274531867382
30000	-2078.1210299176196	-2026.015890895374	-52.10513902224553	-2026.015890895374	14.941208200182713	1.0	2.294776234937878	0.5598293317751324	0.44017066822486756	0.04055823887341387	-49.81036278730765	0.27485857365083455	0.2930695689503225	0.027071815098735744	24.085594045727262	1	0.0	4.315933478249615
40000	-2013.58364286729	-1973.9849570097822	-39.59868585750795	-1973.9849570097822	14.40993921542616	1.0	2.073535870350537	0.7284992060920249	0.27150079390797516	0.0846238402467976	-37.52514998715741	0.46074178950847694	0.04034011184464855	0.5518711870574314	15.138084873741603	1	0.0	4.315933478249615
50000	-1995.6134026636696	-1958.4454650498778	-37.1679376137918	-1958.4454650498778	15.750884305608036	1.0	1.8303409654389815	0.7756099630537941	0.22439003694620593	0.07869149050006559	-35.33759664835282	0.27150202848463706	0.6195013642209111	0.027552100142942532	20.115148840037094	0	0.0	4.421888876080004
60000	-2005.0868765005405	-1961.9126648396154	-43.17421166092501	-1961.9126648396154	15.938325818534748	1.0	1.6810797313283017	0.7606871085032283	0.23931289149677182	0.07708652913009306	-41.49313192959671	0.4214443334058635	0.005212317665995034	0.27048721170577483	18.464669216032465	1	0.0	4.314193115118487
70000	-2006.7228514874437	-1961.6261981990929	-45.09665328835081	-1961.6261981990929	19.433077780791578	1.0	1.414103188795376	0.7866758814129018	0.21332411858709838	0.07190358750807005	-43.682550099555435	0.24452498572709133	0.5818646508211508	0.03820598081617457	21.70617924963298	1	0.0	4.304393329064781
80000	-2021.430410932667	-1965.312258391984	-56.11815254068291	-1965.312258391984	22.410662491250296	1.0	1.8046484929727227	0.7562401001784033	0.24375989982159643	0.042648669947531734	-54.31350404771018	0.22098348397655188	0.3328814867873198	0.04527364536089474	23.810859519649785	0	0.0	4.470206813974603
90000	-2008.3458908070115	-1960.4484203184418	-47.89747048856986	-1960.4484203184418	28.927426962420274	1.0	1.9301136280459328	0.7745056699980899	0.22549433000190983	0.05698586769884134	-45.96735686052393	0.13292522348220082	0.7576011296252786	0.01226550747949643	31.506480886961732	1	0.0	5.241456925007507
100000	-1997.3814807167696	-1963.414738145	-33.96674257176949	-1963.414738145	14.11790464309082	1.0	1.892364998299519	0.7661185379370731	0.23388146206292665	0.08651431736281731	-32.07437757346997	0.1472679386643225	0.7828502193195714	0.017299451505232575	14.532775699622293	1	0.0	4.379289821788688
110000	-2016.8347037668566	-1963.9450461672227	-52.88965759963389	-1963.9450461672227	26.96826279459097	1.0	1.270681266210733	0.7723039247751698	0.22769607522482993	0.06001304389250461	-51.61897633342316	0.10944786754476611	0.6954959789319748	0.022448015912970024	72.17341072751663	1	0.0	4.523781806708163
120000	-2013.7184928343443	-1963.424276791803	-50.294216042541066	-1963.424276791803	24.99817053561423	1.0	1.270681266210733	0.786984661981326	0.21301533801867378	0.06098306344061375	-49.02353477633034	0.06078557428175925	0.8725876473876433	0.026003608385331868	29.228405878392063	0	0.0	4.669887885759412
130000	-2010.8487659222833	-1961.7990235299312	-49.049742392352044	-1961.7990235299312	32.939682834347295	1.0	1.118594545219881	0.7784806943362778	0.22151930566372208	0.06630905521684517	-47.931147847132166	0.021702365952325425	0.9685009786140698	0.0011790587005516032	85.65125838977434	0	0.0	4.712828682228521
140000	-2015.1579575056896	-1959.6244448406803	-55.533512665009326	-1959.6244448406803	27.019751460314595	1.0	1.5535915763572679	0.7840973972092004	0.21590260279079956	0.04494929482808514	-53.979921088652056	0.06923626039278545	0.8510588496181404	0.04582847709533991	27.38125628048742	0	0.0	4.793127181371879
150000	-2009.810295774965	-1969.9553761425952	-39.854919632369764	-1969.9553761425952	15.661034336044347	1.0	1.7259635399223103	0.7912726462638677	0.20872735373613224	0.07685388554254272	-38.12895609244745	0.20417817961690946	0.42833862466677514	0.04864627770092739	18.838703323990917	1	0.0	4.530895315583741
160000	-2008.7658808441738	-1961.422309732143	-47.34357111203079	-1961.422309732143	21.953322370845626	1.0	1.3762621325889544	0.7719290546221745	0.22807094537782543	0.07214049748008326	-45.96730897944183	0.21953169210566165	0.6852716424995496	0.01964281161170506	25.30944193029424	0	0.0	4.676011219623954
170000	-2004.3453009562809	-1958.710176255039	-45.63512470124181	-1958.710176255039	19.480519457246523	1.0	1.566334766119182	0.7643808323909602	0.23561916760904017	0.06646234147439649	-44.06878993512262	0.2853839239536827	0.2658290195310232	0.17270756247210406	20.962251225603914	1	0.0	4.359377064580315
180000	-2005.0695921003094	-1956.873543212619	-48.196048887690246	-1956.873543212619	25.52978470606897	1.0	1.3177740661049886	0.7999159188015368	0.20008408119846363	0.06961056866334527	-46.87827482158526	0.31382026799285717	0.24707817558691175	0.035966666588649436	25.976365635572	1	0.0	4.616396166891362
190000	-2089.9400611032806	-1964.7020811295502	-125.2379799737306	-1964.7020811295502	285.5845398897297	1.0	1.3277117721433644	0.7846063214301973	0.2153936785698027	0.005687646916402201	-123.91026820158724	0.005075372919755793	0.8188264585182737	0.058116055248046715	405.9491378811789	0	0.0	4.839359284244278
200000	-2007.7242357142773	-1968.322996582792	-39.40123913148516	-1968.322996582792	18.338414927015425	1.0	1.5895386525576025	0.7846063214301973	0.2153936785698027	0.07339642074401352	-37.81170047892756	0.24490758508466048	0.6825269716689975	0.007662746817006729	21.089748289811844	0	0.0	4.598213977930625
