Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_1111	TreeHeight.t:tree	mutationRate.s:kd-looms_1111	bcov_alpha.s:kd-looms_1111	bcov_s.s:kd-looms_1111	frequencies.s:kd-looms_1111.1	frequencies.s:kd-looms_1111.2	ucldMean.c:clock	ucldStdev.c:clock	rate.c:clock.mean	rate.c:clock.variance	rate.c:clock.coefficientOfVariation	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
0	-2022.4163292348483	-1944.5855715203438	-77.83075771450446	-1944.5855715203438	24.912558915471028	1.0	0.0028889696322147774	0.1967292741292618	0.7413199021296609	0.2586800978703388	0.031051375484518414	0.7687836059754668	0.032899776648865	5.715759322082727E-4	0.7550526004409162	-70.50899977081777	0.1679920285293519	0.11032554052215943	0.07927826140033774	30.042053237503485	1.0	-3.891820298110627	5.300000000000328	
1	-2022.4163292348483	-1944.5855715203438	-77.83075771450446	-1944.5855715203438	24.912558915471028	1.0	0.0028889696322147774	0.1967292741292618	0.7413199021296609	0.2586800978703388	0.031051375484518414	0.7687836059754668	0.032899776648865	5.715759322082727E-4	0.7550526004409162	-70.50899977081777	0.1679920285293519	0.11032554052215943	0.07927826140033774	30.042053237503485	1.0	-3.891820298110627	5.300000000000328	
2	-1984.9807041944457	-1942.986764570729	-41.993939623716585	-1942.986764570729	11.50030707605936	1.0	0.00523091312822746	0.3198913314203919	0.7834449484063328	0.2165550515936666	0.16744856183566442	1.1240093534350912	0.11441844020045928	0.01937820140450309	1.041177045218936	-33.09298454133171	0.15376921534209145	0.7034242944161433	0.03524876270914241	16.771670753193963	1.0	-3.891820298110627	5.300000000000329	
3	-1991.0664809925997	-1942.0546737428651	-49.011807249734645	-1942.0546737428651	10.80528264994314	1.0	0.017011411974866383	0.3369316661210088	0.7845589834400455	0.21544101655995468	0.09653514455378695	0.9422155556412846	0.07242362920088796	0.0073701855268913825	1.0869154266048255	-40.617094167780394	0.29534125261396876	0.03682800692032028	0.5688592877101302	12.477046636831815	1.0	-3.891820298110627	5.300000000000319	
4	-1965.3345725833437	-1939.2258459773925	-26.108726605951286	-1939.2258459773925	5.300000000000333	1.0	0.08496832708848967	0.1996255665066463	0.7352595202770033	0.2647404797229955	0.28428117791856045	1.2906581889652344	0.20637677899143902	0.16580851276415776	1.550346587748483	-17.167740970563386	1.0370415708674907	0.18013839484576435	0.4250951599833829	6.188370760779808	1.0	-3.891820298110627	5.300000000000333	
5	-1988.430198233125	-1938.5892749654397	-49.840923267685326	-1938.5892749654397	11.151139405432204	1.0	0.03236674198528519	0.21733622999769242	0.8007434487805484	0.19925655121945088	0.09687074068575635	0.9248138542677756	0.102484584566904	0.011256317807610668	1.138856667948778	-41.9288312515674	0.35360956881468064	0.003999692962006737	0.9560710088391198	11.934931303844488	1.0	-3.891820298110627	5.300000000000335	
6	-1982.1205956753508	-1937.1877533221789	-44.93284235317206	-1937.1877533221789	9.354868593845623	1.0	0.05209635454548571	0.18368710282907183	0.7764805149087207	0.2235194850912785	0.13146124779255883	0.6685582261075644	0.10844939767607795	0.008300327397058927	0.7737928946339361	-38.004303906158476	0.4991147433959863	0.29635317528740723	0.08519119149199135	13.286424280788065	1.0	-3.891820298110627	5.300000000000333	
7	-1988.427270453025	-1936.4501628572787	-51.97710759574623	-1936.4501628572787	9.928513068445296	1.0	0.03317657252224289	0.24534253778337448	0.7453507508658006	0.2546492491341984	0.07560872864790795	0.7176347932748313	0.06123375613716823	0.0029256777233447845	0.8383849394118288	-44.60633329445844	0.3309890896349708	0.29170181119258765	0.14866866112316965	10.087936488610492	1.0	-3.891820298110627	5.300000000000338	
8	-1988.427270453025	-1936.4501628572787	-51.97710759574623	-1936.4501628572787	9.928513068445296	1.0	0.03317657252224289	0.24534253778337448	0.7453507508658006	0.2546492491341984	0.07560872864790795	0.7176347932748313	0.06123375613716823	0.0029256777233447845	0.8383849394118288	-44.60633329445844	0.3309890896349708	0.29170181119258765	0.14866866112316965	10.087936488610492	1.0	-3.891820298110627	5.300000000000338	
9	-1988.427270453025	-1936.4501628572787	-51.97710759574623	-1936.4501628572787	9.928513068445296	1.0	0.03317657252224289	0.24534253778337448	0.7453507508658006	0.2546492491341984	0.07560872864790795	0.7176347932748313	0.06123375613716823	0.0029256777233447845	0.8383849394118288	-44.60633329445844	0.3309890896349708	0.29170181119258765	0.14866866112316965	10.087936488610492	1.0	-3.891820298110627	5.300000000000338	
