Sample	posterior	likelihood	prior	treeLikelihood.level1	treeLikelihood.level2	treeLikelihood.level3	treeLikelihood.level4	TreeHeight.t:tree	mutationRate.s:level1	mutationRate.s:level2	mutationRate.s:level3	mutationRate.s:level4	bcov_alpha.s:level1	bcov_s.s:level1	frequencies.s:level1.1	frequencies.s:level1.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
0	-1973.1589494918483	-1927.6417511104542	-45.51719838139405	-268.73064186897255	-1006.8961864568358	-568.8908319868298	-83.12409079781574	16.290194898265938	0.5365344916957845	0.9194505117088322	1.442235275935852	0.5736444540134435	0.011308118633955902	0.15592155859891815	0.7678487646330378	0.23215123536696322	0.1152009999479611	-40.29125958802557	0.31618749939519564	0.443568949449258	0.108066089001173	18.397966254927464	1.0	-3.891820298110627	5.30000000000023	
1	-1966.5735683015107	-1926.9033289310062	-39.67023937050449	-260.9535219975621	-1017.4527834099226	-566.2188285659967	-82.27819495752478	19.722754946214934	0.518586300220156	0.9624302018640418	1.3899185654152908	0.5432700764540028	0.008646896782276594	0.2254430091990728	0.7646115457713146	0.235388454228686	0.1355380435818681	-34.087069804437974	0.11143359977917539	0.9066921921327267	0.005849449396313405	21.74171773635024	1.0	-3.891820298110627	5.300000000000237	
2	-1952.1546394339045	-1926.0187245669824	-26.135914866922036	-262.5312118955171	-1021.9976303384863	-560.3527147412176	-81.13716759176143	14.286343431530103	0.41061953854832434	0.9907685664124742	1.360332049587705	0.7774533141279987	0.017198958927772994	0.1648852029532084	0.7905105270800113	0.20948947291998907	0.18856763290715892	-20.85597809036799	0.08475263120544399	0.9419224318243953	0.007477128962252365	16.964607052837763	0.0	-3.891820298110627	5.300000000000239	
3	-1978.9593961663134	-1925.8464509905095	-53.112945175803816	-260.50282253778647	-1015.4375325611168	-568.8793066029668	-81.02678928863948	22.80649830841513	0.5296696921871465	0.9386501648316387	1.3476914316513104	0.9363035416475696	0.03647936746071404	0.16646991919587234	0.7723291316122234	0.2276708683877779	0.07074857569760043	-47.823763048877346	0.17894607724646963	0.2860610339965235	0.05055984837200385	23.06012724456608	1.0	-3.891820298110627	5.300000000000249	
4	-1976.8801950339928	-1923.2270541622347	-53.65314087175807	-258.70072311754484	-1020.6465204964488	-562.6186899496893	-81.2611205985518	35.80550318027971	0.4205357613012465	1.0491659164576472	1.2860861353509694	0.6529981774810338	0.00433740608619501	0.3025365657136849	0.774054872610785	0.2259451273892161	0.08203596493312589	-47.78283393527754	0.05500415835025022	0.8988656878987717	0.004967585353783605	40.01084979635122	1.0	-3.891820298110627	5.30000000000026	
5	-1976.8801950339928	-1923.2270541622347	-53.65314087175807	-258.70072311754484	-1020.6465204964488	-562.6186899496893	-81.2611205985518	35.80550318027971	0.4205357613012465	1.0491659164576472	1.2860861353509694	0.6529981774810338	0.00433740608619501	0.3025365657136849	0.774054872610785	0.2259451273892161	0.08203596493312589	-47.78283393527754	0.05500415835025022	0.8988656878987717	0.004967585353783605	40.01084979635122	1.0	-3.891820298110627	5.30000000000026	
6	-1993.2100597078154	-1922.5667253603212	-70.64333434749415	-265.55508355585846	-1008.3793268492959	-566.8653935095175	-81.7669214456493	49.83668846977536	0.6134313098239603	1.0432604153473124	1.183163874238969	0.6890095212324479	0.040311704045830794	0.18391131012616846	0.7612466733649692	0.23875332663503246	0.03545970444350412	-65.25775102804268	0.050860776607010307	0.8179142883889284	0.013429912995881064	53.379801638203936	0.0	-3.891820298110627	5.30000000000026	
7	-1993.2100597078154	-1922.5667253603212	-70.64333434749415	-265.55508355585846	-1008.3793268492959	-566.8653935095175	-81.7669214456493	49.83668846977536	0.6134313098239603	1.0432604153473124	1.183163874238969	0.6890095212324479	0.040311704045830794	0.18391131012616846	0.7612466733649692	0.23875332663503246	0.03545970444350412	-65.25775102804268	0.050860776607010307	0.8179142883889284	0.013429912995881064	53.379801638203936	0.0	-3.891820298110627	5.30000000000026	
8	-1993.2100597078154	-1922.5667253603212	-70.64333434749415	-265.55508355585846	-1008.3793268492959	-566.8653935095175	-81.7669214456493	49.83668846977536	0.6134313098239603	1.0432604153473124	1.183163874238969	0.6890095212324479	0.040311704045830794	0.18391131012616846	0.7612466733649692	0.23875332663503246	0.03545970444350412	-65.25775102804268	0.050860776607010307	0.8179142883889284	0.013429912995881064	53.379801638203936	0.0	-3.891820298110627	5.30000000000026	
9	-1979.3278321230944	-1922.1818000169644	-57.14603210613005	-256.23420462866915	-1010.6889365699926	-572.5563094759368	-82.70234934236574	24.643839377446348	0.44726112133828755	0.9184253510057767	1.5105293894436869	0.4784182814317439	0.03597003040969722	0.15397897452840123	0.7610463748307155	0.23895362516928603	0.07224102867067954	-51.93219770904466	0.2524575273310958	0.10924167958808284	0.15187668835060641	32.11185223825494	1.0	-3.891820298110627	5.300000000000242	
10	-1962.5405014234673	-1921.9038369256898	-40.63666449777739	-254.99182047409047	-1013.6179106663197	-568.7707904167232	-84.52331536855637	20.271465501330514	0.5079648036543254	0.948488403468859	1.401388031388768	0.6304224260719293	0.0740876092628625	0.28709418008758986	0.7540123481007089	0.2459876518992923	0.09076721255553648	-34.81767404122252	0.12276313775826862	0.8183392895376215	0.02087429134254401	21.55168528404002	1.0	-3.891820298110627	5.3000000000002565	
11	-1962.5405014234673	-1921.9038369256898	-40.63666449777739	-254.99182047409047	-1013.6179106663197	-568.7707904167232	-84.52331536855637	20.271465501330514	0.5079648036543254	0.948488403468859	1.401388031388768	0.6304224260719293	0.0740876092628625	0.28709418008758986	0.7540123481007089	0.2459876518992923	0.09076721255553648	-34.81767404122252	0.12276313775826862	0.8183392895376215	0.02087429134254401	21.55168528404002	1.0	-3.891820298110627	5.3000000000002565	
12	-1975.2097813739604	-1921.1770252342267	-54.032756139733664	-257.86744555886673	-1015.6044155857874	-565.5457468219574	-82.15941726761511	25.38504309070598	0.41601604088667843	1.0226844211702606	1.3781093623842775	0.3982760698480535	0.0355303420205155	0.19092798744921574	0.7628542811009269	0.2371457188990747	0.06380120109570493	-48.61090059071268	0.16123417384254213	0.559909355375232	0.05219562058526696	32.92604201079036	1.0	-3.891820298110627	5.30000000000026	
13	-1980.4410260415586	-1921.0995563724987	-59.34146966905989	-256.4500194194579	-1010.5392710702092	-569.7263105284002	-84.38395535443131	41.384257153908315	0.5275136401031193	0.9877326331146096	1.3841235490350505	0.3351766261310435	0.04802611160051993	0.1335010677811925	0.7573131301563283	0.24268686984367327	0.06137522829523322	-54.2652543211419	0.029509036791552347	0.9382710968297862	0.007237295204411027	56.75691973289229	1.0	-3.891820298110627	5.300000000000267	
