Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_1111	TreeHeight.t:tree	mutationRate.s:kd-looms_1111	bcov_alpha.s:kd-looms_1111	bcov_s.s:kd-looms_1111	frequencies.s:kd-looms_1111.1	frequencies.s:kd-looms_1111.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
0	-2009.4749872798407	-1974.7627000574325	-34.712287222408186	-1974.7627000574325	14.297796755398897	1.0	0.04162223707021155	0.10095933555905345	0.7642557970338928	0.23574420296610815	0.14846294347803762	-29.904748123408744	0.12504521943582797	0.8363837030413301	0.016786444788610026	15.729672943983099	1.0	-3.891820298110627	5.300000000000212	
1	-2031.729464287634	-1970.3925667070175	-61.33689758061651	-1970.3925667070175	17.938158393622363	1.0	0.02653820000111216	0.28897844682232665	0.7247584032024044	0.2752415967975965	0.039980562399553	-55.51150399563648	0.14910933768875853	0.6276277854216104	0.02948270013638952	26.268488485571314	0.0	-3.891820298110627	5.300000000000217	
2	-2024.3427265339803	-1967.5408623330839	-56.80186420089646	-1967.5408623330839	21.95304714320856	1.0	0.05821938969015708	0.14358389421324025	0.7785124465858729	0.2214875534141274	0.06293987554486502	-51.655471054313224	0.38031084792940506	0.1271655272970659	0.19447025204084017	26.425161306806046	1.0	-3.891820298110627	5.3000000000002245	
3	-2024.3427265339803	-1967.5408623330839	-56.80186420089646	-1967.5408623330839	21.95304714320856	1.0	0.05821938969015708	0.14358389421324025	0.7785124465858729	0.2214875534141274	0.06293987554486502	-51.655471054313224	0.38031084792940506	0.1271655272970659	0.19447025204084017	26.425161306806046	1.0	-3.891820298110627	5.3000000000002245	
4	-2022.0221157200547	-1966.0286500493723	-55.99346567068241	-1966.0286500493723	14.721130822899259	1.0	0.031241269847257995	0.24959853250660324	0.7580705099488667	0.24192949005113398	0.06179314515783485	-50.3111835094102	0.2712877693570665	0.4435721232993824	0.05315346474991948	21.370879903424072	1.0	-3.891820298110627	5.3000000000002245	
5	-2033.713615893387	-1965.9959692795587	-67.71764661382822	-1965.9959692795587	31.61013013171883	1.0	0.015306321594915066	0.252512761743638	0.7581740928320221	0.24182590716797853	0.03949534550618125	-62.0240453993275	0.10849302273375806	0.5583900869711225	0.04677443273646972	33.9718802221187	0.0	-3.891820298110627	5.300000000000228	
6	-2017.0381684803208	-1965.0798304710086	-51.95833800931227	-1965.0798304710086	17.568473896638544	1.0	0.07232577747994046	0.1877335985688208	0.7677605913545303	0.2322394086454705	0.06307302712577999	-46.55283067812084	0.23299590572950282	0.32500952263542665	0.11727596335112327	18.414470230919125	0.0	-3.891820298110627	5.300000000000221	
7	-2017.0381684803208	-1965.0798304710086	-51.95833800931227	-1965.0798304710086	17.568473896638544	1.0	0.07232577747994046	0.1877335985688208	0.7677605913545303	0.2322394086454705	0.06307302712577999	-46.55283067812084	0.23299590572950282	0.32500952263542665	0.11727596335112327	18.414470230919125	0.0	-3.891820298110627	5.300000000000221	
8	-2011.5648609901152	-1963.830863290448	-47.733997699667256	-1963.830863290448	15.841297088018479	1.0	0.030686432041934025	0.1896846064928914	0.7445310755790072	0.2554689244209936	0.06731190155809991	-42.318473409528366	0.19886957148441428	0.7500571945403034	0.010519566918469475	23.59205752623574	0.0	-3.891820298110627	5.300000000000228	
9	-2011.5648609901152	-1963.830863290448	-47.733997699667256	-1963.830863290448	15.841297088018479	1.0	0.030686432041934025	0.1896846064928914	0.7445310755790072	0.2554689244209936	0.06731190155809991	-42.318473409528366	0.19886957148441428	0.7500571945403034	0.010519566918469475	23.59205752623574	0.0	-3.891820298110627	5.300000000000228	
10	-2026.1705900047264	-1963.822717502349	-62.34787250237747	-1963.822717502349	33.53732566240903	1.0	0.05195351166563559	0.17307088362717307	0.7789085044353826	0.22109149556461835	0.04592789704073593	-57.02108799483266	0.0664487193946478	0.8318947609794508	0.027950986276109886	39.59686244390507	0.0	-3.891820298110627	5.300000000000235	
11	-2018.7416993409438	-1963.4411881456217	-55.30051119532219	-1963.4411881456217	25.900953312471962	1.0	0.03300112840076637	0.2488050882413695	0.7728528909973734	0.22714710900262788	0.060066335042987605	-49.62133312652155	0.25370240725453547	0.3406374691688561	0.07553383575853437	29.144880265500966	1.0	-3.891820298110627	5.300000000000232	
12	-2031.2914635501345	-1963.249399316053	-68.0420642340814	-1963.249399316053	33.640478995499706	1.0	0.025117280420253782	0.2386506909555925	0.7583779740862595	0.24162202591374218	0.037169977623855335	-62.40348703442733	0.13235148901986352	0.3105368646451077	0.052053260022380546	41.740288477058506	1.0	-3.891820298110627	5.300000000000239	
13	-2031.2914635501345	-1963.249399316053	-68.0420642340814	-1963.249399316053	33.640478995499706	1.0	0.025117280420253782	0.2386506909555925	0.7583779740862595	0.24162202591374218	0.037169977623855335	-62.40348703442733	0.13235148901986352	0.3105368646451077	0.052053260022380546	41.740288477058506	1.0	-3.891820298110627	5.300000000000239	
14	-2013.06090466336	-1961.4305652567714	-51.630339406588476	-1961.4305652567714	26.279338369231997	1.0	0.03446030206029512	0.14107417190617766	0.7595978350987862	0.24040216490121555	0.09893280035957905	-46.500949246362126	0.16616264078904844	0.5378263008294667	0.0698459423547277	28.241275015396102	0.0	-3.891820298110627	5.300000000000242	
15	-2021.77059473741	-1961.3066471155923	-60.46394762181767	-1961.3066471155923	29.283728604145065	1.0	0.03460070956932315	0.14850169257943163	0.7479104069051179	0.25208959309488294	0.058664162252482166	-55.28506967556255	0.08333123431854213	0.5506363357746753	0.07565968999284114	35.7632964232397	1.0	-3.891820298110627	5.300000000000228	
16	-2021.77059473741	-1961.3066471155923	-60.46394762181767	-1961.3066471155923	29.283728604145065	1.0	0.03460070956932315	0.14850169257943163	0.7479104069051179	0.25208959309488294	0.058664162252482166	-55.28506967556255	0.08333123431854213	0.5506363357746753	0.07565968999284114	35.7632964232397	1.0	-3.891820298110627	5.300000000000228	
17	-2021.77059473741	-1961.3066471155923	-60.46394762181767	-1961.3066471155923	29.283728604145065	1.0	0.03460070956932315	0.14850169257943163	0.7479104069051179	0.25208959309488294	0.058664162252482166	-55.28506967556255	0.08333123431854213	0.5506363357746753	0.07565968999284114	35.7632964232397	1.0	-3.891820298110627	5.300000000000228	
18	-2022.269146760518	-1961.1603564919612	-61.108790268556746	-1961.1603564919612	33.387688947720214	1.0	0.04036795641097587	0.13240669259282495	0.7516546877698318	0.2483453122301697	0.05832066876973424	-56.04050407953435	0.07324870594596501	0.794215279232532	0.002031575260233746	36.598844506991746	1.0	-3.891820298110627	5.300000000000246	
19	-2001.6572744260388	-1960.8700426849457	-40.787231741093166	-1960.8700426849457	15.363328742474557	1.0	0.02867920096153207	0.22237056134602198	0.728635948889343	0.27136405111065864	0.10297323082663438	-35.217405519891315	0.3342302130763277	0.29459081239417206	0.06613446491663284	18.25658691874021	1.0	-3.891820298110627	5.300000000000248	
20	-2001.6572744260388	-1960.8700426849457	-40.787231741093166	-1960.8700426849457	15.363328742474557	1.0	0.02867920096153207	0.22237056134602198	0.728635948889343	0.27136405111065864	0.10297323082663438	-35.217405519891315	0.3342302130763277	0.29459081239417206	0.06613446491663284	18.25658691874021	1.0	-3.891820298110627	5.300000000000248	
21	-2015.9670348285806	-1960.8285850326126	-55.13844979596796	-1960.8285850326126	17.623708238120294	1.0	0.023319186075617167	0.27202503898040997	0.7368456855990846	0.2631543144009167	0.054921737123293554	-49.372186642013375	0.24588884084317741	0.343774654992241	0.09219990284836076	22.131085614468837	0.0	-3.891820298110627	5.300000000000253	
22	-2015.9670348285806	-1960.8285850326126	-55.13844979596796	-1960.8285850326126	17.623708238120294	1.0	0.023319186075617167	0.27202503898040997	0.7368456855990846	0.2631543144009167	0.054921737123293554	-49.372186642013375	0.24588884084317741	0.343774654992241	0.09219990284836076	22.131085614468837	0.0	-3.891820298110627	5.300000000000253	
23	-2008.3745003709307	-1960.4393608526077	-47.935139518322984	-1960.4393608526077	12.84389891215095	1.0	0.034305907007908476	0.19489259656030844	0.7695255193571531	0.2304744806428489	0.07001884992214745	-42.493362830930934	0.39214455943594223	0.038699569706193135	0.5669017555618139	14.692165806333069	0.0	-3.891820298110627	5.300000000000251	
24	-2005.1876537889268	-1959.2473810520814	-45.94027273684543	-1959.2473810520814	17.783279017373662	1.0	0.049995238611896996	0.18953171967319263	0.7381475073837884	0.26185249261621335	0.07081300410707173	-40.52552974927854	0.29863991431208226	0.45659938172728526	0.03078777428091024	21.911246412947715	1.0	-3.891820298110627	5.300000000000248	
25	-2028.3976134406182	-1957.120594852738	-71.27701858788032	-1957.120594852738	39.953594222596394	1.0	0.010644250668258864	0.20026194991707164	0.7841937607597846	0.21580623924021727	0.03875982207647965	-65.80888620790796	0.09357240111800011	0.6431818140834185	0.08062318065177848	49.48224516994112	0.0	-3.891820298110627	5.300000000000267	
26	-2028.3976134406182	-1957.120594852738	-71.27701858788032	-1957.120594852738	39.953594222596394	1.0	0.010644250668258864	0.20026194991707164	0.7841937607597846	0.21580623924021727	0.03875982207647965	-65.80888620790796	0.09357240111800011	0.6431818140834185	0.08062318065177848	49.48224516994112	0.0	-3.891820298110627	5.300000000000267	
27	-2028.3976134406182	-1957.120594852738	-71.27701858788032	-1957.120594852738	39.953594222596394	1.0	0.010644250668258864	0.20026194991707164	0.7841937607597846	0.21580623924021727	0.03875982207647965	-65.80888620790796	0.09357240111800011	0.6431818140834185	0.08062318065177848	49.48224516994112	0.0	-3.891820298110627	5.300000000000267	
28	-2023.46015183686	-1956.6338806685299	-66.82627116833015	-1956.6338806685299	33.40703928628544	1.0	0.029195330969650653	0.17406454417282669	0.7526502755280193	0.24734972447198217	0.048591148887217	-61.493948609877556	0.0842787768884201	0.4628210140737067	0.09240510307293737	36.99817203153986	1.0	-3.891820298110627	5.30000000000026	
29	-2023.46015183686	-1956.6338806685299	-66.82627116833015	-1956.6338806685299	33.40703928628544	1.0	0.029195330969650653	0.17406454417282669	0.7526502755280193	0.24734972447198217	0.048591148887217	-61.493948609877556	0.0842787768884201	0.4628210140737067	0.09240510307293737	36.99817203153986	1.0	-3.891820298110627	5.30000000000026	
30	-2016.7886007587188	-1956.0390320042304	-60.749568754488266	-1956.0390320042304	24.850538324263997	1.0	0.027016186217264267	0.2786356865947164	0.7427898957453704	0.25721010425463103	0.043491713569891156	-54.95983405860676	0.16073799778783515	0.6404378400792683	0.02349571255131463	29.180748467234373	1.0	-3.891820298110627	5.300000000000264	
31	-2016.7886007587188	-1956.0390320042304	-60.749568754488266	-1956.0390320042304	24.850538324263997	1.0	0.027016186217264267	0.2786356865947164	0.7427898957453704	0.25721010425463103	0.043491713569891156	-54.95983405860676	0.16073799778783515	0.6404378400792683	0.02349571255131463	29.180748467234373	1.0	-3.891820298110627	5.300000000000264	
32	-1994.2591423709164	-1955.7189159122465	-38.54022645866986	-1955.7189159122465	16.63660825851655	1.0	0.013602999250124382	0.2017685194090032	0.7747013038695046	0.22529869613049652	0.11049344763149996	-33.064823326003136	0.2194544468833293	0.6619802166983562	0.02377329934614439	16.75343451653145	0.0	-3.891820298110627	5.300000000000267	
33	-1994.2591423709164	-1955.7189159122465	-38.54022645866986	-1955.7189159122465	16.63660825851655	1.0	0.013602999250124382	0.2017685194090032	0.7747013038695046	0.22529869613049652	0.11049344763149996	-33.064823326003136	0.2194544468833293	0.6619802166983562	0.02377329934614439	16.75343451653145	0.0	-3.891820298110627	5.300000000000267	
34	-1994.2591423709164	-1955.7189159122465	-38.54022645866986	-1955.7189159122465	16.63660825851655	1.0	0.013602999250124382	0.2017685194090032	0.7747013038695046	0.22529869613049652	0.11049344763149996	-33.064823326003136	0.2194544468833293	0.6619802166983562	0.02377329934614439	16.75343451653145	0.0	-3.891820298110627	5.300000000000267	
