Sample	posterior	likelihood	prior	treeLikelihood.level1	treeLikelihood.level2	treeLikelihood.level3	treeLikelihood.level4	TreeHeight.t:tree	mutationRate.s:level1	mutationRate.s:level2	mutationRate.s:level3	mutationRate.s:level4	freqParameter.s:level1.1	freqParameter.s:level1.2	freqParameter.s:level2.1	freqParameter.s:level2.2	freqParameter.s:level3.1	freqParameter.s:level3.2	freqParameter.s:level4.1	freqParameter.s:level4.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
0	-1977.0336958613852	-1938.5875335104113	-38.44616235097398	-270.2321463258794	-1035.1634531831048	-558.0869034868313	-75.10503051459594	15.022727989067594	0.5789559230005075	1.0169551276752051	1.2669715057509956	0.6614915359768884	0.37004779520220604	0.6299522047977929	0.71997005214721	0.2800299478527888	0.8330909062892657	0.16690909371073542	0.9214528723204698	0.07854712767952941	0.078230296021669	-34.55434205286335	0.34458897166871866	0.6212819567898669	0.018418242617978624	17.914943879829075	1.0	-3.891820298110627	5.300000000000198	
1	-1989.6306318060526	-1938.1002764969346	-51.530355309118065	-266.1269337025968	-1024.5544966434495	-568.4222834713714	-78.9965626795169	19.302234115142184	0.5530834931439436	1.0458534072142234	1.2081175457391633	0.8076133903349016	0.4178527019285779	0.5821472980714205	0.67294112756484	0.3270588724351583	0.7825184157426214	0.21748158425737976	0.9123034043714274	0.08769659562857204	0.05238914060119147	-47.638535011007434	0.13648716690560922	0.5263346240580091	0.06973429739088911	20.190160008070364	1.0	-3.891820298110627	5.300000000000203	
2	-1980.801695708344	-1937.990380618819	-42.81131508952497	-263.14684151156723	-1032.1303554100373	-562.60371170327	-80.10947199394411	12.309224736636923	0.45325015032370664	0.9864390954617052	1.41726270976911	0.4834235559845782	0.3473643647590179	0.6526356352409809	0.7252586718701517	0.27474132812984686	0.8309225481710177	0.16907745182898362	0.9645531679493777	0.035446832050621525	0.056491258161671706	-38.919494791414344	0.2840617295992182	0.1849884113213377	0.09743913736522028	13.580760912576244	1.0	-3.891820298110627	5.300000000000196	
3	-1976.2573026644957	-1935.9440200194115	-40.313282645084115	-262.98471491653004	-1037.7642368573954	-558.8781341391301	-76.31693410635604	12.000627203261315	0.5331441450735345	0.9865598603304325	1.3112772859456947	0.8146385607106704	0.3270308097043906	0.6729691902956078	0.6816869802513521	0.3183130197486465	0.8529360543647995	0.14706394563520225	0.9298071744219895	0.07019282557800965	0.06698273547225304	-36.42146234697349	0.4378303044607709	0.020061410244101276	0.5008422239536545	14.663920685761273	1.0	-3.891820298110627	5.3000000000002	
4	-1985.167392660233	-1935.6693090808237	-49.4980835794092	-253.8541813514156	-1035.2166050244102	-566.6531178954273	-79.94540480957059	11.973273443405306	0.297345736827115	1.0810739617194023	1.2856834998042903	0.8433904241597138	0.3092100390379291	0.6907899609620693	0.7207271369468056	0.2792728630531934	0.8484184807711571	0.15158151922884416	0.9539104396182602	0.04608956038173928	0.04441004038853975	-45.606263281298574	0.3414862159325701	0.35065387112218005	0.07646681740207774	13.64820338792212	1.0	-3.891820298110627	5.300000000000207	
5	-1982.1686114513157	-1932.729481251803	-49.43913019951266	-259.6370618411284	-1029.5731418622793	-559.8503377614862	-83.66893978690902	20.364571670427075	0.5839326584198825	1.0581271248684345	1.23265659032173	0.48345796358343907	0.40426894490480525	0.5957310550951922	0.6769588546257537	0.32304114537424566	0.863847945346805	0.1361520546531965	0.8901647196333218	0.1098352803666771	0.060727350468621016	-45.54730990140203	0.2658523600286663	0.13276807954223732	0.06978809454249887	20.557252432711742	1.0	-3.891820298110627	5.3000000000002085	
6	-1975.2433115173349	-1932.5261397430093	-42.71717177432555	-256.92287162683436	-1029.180941237787	-567.1288614692439	-79.29346540914385	13.046332842320341	0.518262247678489	0.9780672889922267	1.1493758856084708	1.7929973720079713	0.41553096497016256	0.584469035029835	0.7003247586146817	0.2996752413853177	0.8838648422719738	0.11613515772802745	0.9071926962190906	0.0928073037809083	0.05813066746990333	-38.82535147621493	0.4443548727790557	0.20125305226574047	0.034996539255133526	13.330662360646418	1.0	-3.891820298110627	5.300000000000205	
7	-1970.8690266728986	-1932.5235227067067	-38.34550396619184	-256.8033709507355	-1032.5789469810863	-563.9925271237469	-79.14867765113794	11.482088439292328	0.5881369903309194	0.9603097996562051	1.2816472316831402	1.0332077287850003	0.3921090288372016	0.6078909711627969	0.7390007311320578	0.2609992688679413	0.8532580970925802	0.14674190290742112	0.9408662420059773	0.05913375799402195	0.07188209975605815	-34.45368366808121	0.34697397174726635	0.3481247493585222	0.10692989762510925	17.991061895369707	1.0	-3.891820298110627	5.300000000000207	
8	-1974.0555599030129	-1932.3906713579283	-41.66488854508455	-262.1285368150497	-1031.5718681960393	-559.5680313923577	-79.12223495448158	12.085853143339516	0.48585531369995316	1.001149006509961	1.3590378277997546	0.5750494486509259	0.38371505831734515	0.6162849416826534	0.7333089902811305	0.26669100971886867	0.8552631570523624	0.1447368429476387	0.9423939753553907	0.05760602464460878	0.05619649343196517	-37.77306824697392	0.3848900446602668	0.07922086612316824	0.4786528072845818	12.303859291408484	1.0	-3.891820298110627	5.3000000000002085	
9	-1974.0555599030129	-1932.3906713579283	-41.66488854508455	-262.1285368150497	-1031.5718681960393	-559.5680313923577	-79.12223495448158	12.085853143339516	0.48585531369995316	1.001149006509961	1.3590378277997546	0.5750494486509259	0.38371505831734515	0.6162849416826534	0.7333089902811305	0.26669100971886867	0.8552631570523624	0.1447368429476387	0.9423939753553907	0.05760602464460878	0.05619649343196517	-37.77306824697392	0.3848900446602668	0.07922086612316824	0.4786528072845818	12.303859291408484	1.0	-3.891820298110627	5.3000000000002085	
