#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kd-lngs_pruned_filtered" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="bcov_alpha_prior.s:kd-lngs_pruned_filtered" name="distribution">
#            <parameter id="bcov_alpha.s:kd-lngs_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:kd-lngs_pruned_filtered" name="distribution">
#            <parameter id="bcov_s.s:kd-lngs_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Li.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Li" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="HlaiBaisha" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiQiandui" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiXifang" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiZhongsha" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.26" lower="0.5" name="distr" upper="1.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.kd-lngs_pruned_filtered" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@kd-lngs_pruned_filtered" excludeto="1" filter="-" id="orgdata.kd-lngs_pruned_filtered" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:kd-lngs_pruned_filtered" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:kd-lngs_pruned_filtered" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kd-lngs_pruned_filtered" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kd-lngs_pruned_filtered" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:kd-lngs_pruned_filtered" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:kd-lngs_pruned_filtered">
#                    <parameter dimension="2" id="frequencies.s:kd-lngs_pruned_filtered" lower="0.0" name="vfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:kd-lngs_pruned_filtered" lower="0.0" name="hfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@kd-lngs_pruned_filtered" estimate="false" id="dummyfrequencies.s:kd-lngs_pruned_filtered" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.kd-lngs_pruned_filtered	TreeHeight.t:tree	mutationRate.s:kd-lngs_pruned_filtered	bcov_alpha.s:kd-lngs_pruned_filtered	bcov_s.s:kd-lngs_pruned_filtered	frequencies.s:kd-lngs_pruned_filtered.1	frequencies.s:kd-lngs_pruned_filtered.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	logP(mrca(Li))	mrca.age(Li)	clockRate.c:clock
0	-3906.889834706967	-3296.064359013181	-610.8254756937863	-3296.064359013181	54.998039829424805	1.0	0.5	0.5	0.5	0.5	-601.4422017806347	1.0	0.5	0.0	1.4043651046634646	1.0
10000	-1729.0640491232139	-1686.6521248284885	-42.41192429472529	-1686.6521248284885	8.829408576208424	1.0	0.1403045896673354	0.8412119767274541	0.5250747200112692	0.4749252799887308	-32.5003053800753	0.4122252847341322	0.2206986604958644	0.0	0.9472696464979553	0.056873753681906856
20000	-1716.4708678268205	-1685.4724177222693	-30.998450104551225	-1685.4724177222693	5.172282793033887	1.0	0.30524217462051734	0.4053356704892366	0.5708477168693841	0.4291522831306158	-21.824040554993303	0.45373815723619787	0.3327240278735642	0.0	0.5566950198554619	0.1303217032128731
30000	-1703.4923328288687	-1674.1900670173948	-29.302265811473927	-1674.1900670173948	3.664887632016448	1.0	0.2671126205516507	0.6718502149150387	0.6024459583317228	0.3975540416682772	-19.621150920185407	1.245443361013269	0.30096476609851974	0.0	0.5570518179481683	0.12968766259854364
40000	-1701.0466546849125	-1666.6307920348313	-34.41586265008116	-1666.6307920348313	8.536618471305363	1.0	0.029923874785827868	0.3894657746217489	0.6204139049399992	0.3795860950600007	-25.280982661123264	0.2040418888756276	0.8096938925268328	0.0	0.7289768616186174	0.09686103367389268
50000	-1706.3057394821112	-1670.6976217647011	-35.60811771741003	-1670.6976217647011	5.866677814229975	1.0	0.013706410304286631	0.6401311490585165	0.6398662626583239	0.36013373734167564	-25.97611896087753	0.5940905165634904	0.5701905552015692	0.0	0.5300501714354979	0.10308778336834426
60000	-1703.012285621608	-1665.1144804817857	-37.89780513982248	-1665.1144804817857	7.399859028532225	1.0	0.0209427579841721	0.5044729100583281	0.6321021479037473	0.36789785209625203	-28.50562319451488	0.30338039876950446	0.3789847184351398	0.0	0.8682326995887355	0.08936147738118914
70000	-1707.222678626094	-1674.0810871752544	-33.14159145083962	-1674.0810871752544	6.669476424623	1.0	0.010236219209212366	0.4620108039351876	0.6506493719211972	0.34935062807880213	-23.837185288643624	0.5146820285642124	0.1175677706582597	0.0	0.7727300793342511	0.12377703288090411
80000	-1695.4486329200238	-1665.8566828086919	-29.591950111331972	-1665.8566828086919	4.04301557450205	1.0	0.005353328340938861	0.5851808131992278	0.6605432604946373	0.3394567395053619	-20.05071097258731	0.6767696999661224	0.5709152314900108	0.0	0.5415066653800485	0.12051181788404002
90000	-1705.1641418136776	-1662.45148027673	-42.712661536947486	-1662.45148027673	9.528362565700222	1.0	0.03658482394743042	0.40843579544851294	0.6321658276476914	0.36783417235230886	-33.53070374381257	0.23391042109547203	0.5557254506262486	0.0	0.8872567591012769	0.061348284784666196
100000	-1699.4104554890605	-1664.551263411515	-34.85919207754552	-1664.551263411515	6.557709552181135	1.0	0.002612055132378348	0.3903627810122666	0.653435247848535	0.3465647521514643	-25.722036891045015	0.61413424162702	0.42633484768702906	0.0	0.6957154667311003	0.10327949312122342
110000	-1692.5674502615107	-1664.373844122884	-28.19360613862662	-1664.373844122884	5.173985759984842	1.0	9.658967786859925E-4	0.3618371014756573	0.6711757639748446	0.3288242360251553	-19.131391799936075	0.09514776691097031	0.9315995583643109	0.0	0.5303080172598575	0.15099684080360828
120000	-1700.1042648631715	-1667.2618479434507	-32.84241691972084	-1667.2618479434507	6.665529012956305	1.0	0.0011662314052472262	0.3618371014756573	0.652379086391859	0.34762091360814074	-23.78020258103029	0.4655968112959713	0.653182756557558	0.0	0.6160612462748931	0.13463263034275935
130000	-1700.5342814324888	-1664.0189933957672	-36.51528803672154	-1664.0189933957672	6.838907624206469	1.0	5.037928775620132E-4	0.3434846484736778	0.6705883841131202	0.32941161588687956	-27.50435805400725	0.45945682570940005	0.2289245156831324	0.0	0.6064437166222234	0.1063733540355793
140000	-1702.6871847993773	-1663.1507453290021	-39.53643947037513	-1663.1507453290021	8.996866726631433	1.0	0.0039591899646148725	0.3552325264058744	0.6429966550280749	0.35700334497192526	-30.492386048020553	0.249241385065239	0.5370192560442281	0.0	0.6998572601569327	0.0808185354767931
150000	-1697.1799503013435	-1664.6013950833972	-32.578555217946345	-1664.6013950833972	5.947509395854377	1.0	0.0013157411096088713	0.41225240750059877	0.6835574294095552	0.31644257059044434	-23.38737974628502	0.6502136655142207	0.001632436662304873	0.0	0.5812164768001278	0.1345767706344763
160000	-1704.3465763290696	-1661.3671835268983	-42.979392802171404	-1661.3671835268983	11.00370781946323	1.0	2.718894226524108E-4	0.4155366654952811	0.6413524755347817	0.3586475244652177	-33.78035060403023	0.23872575901412685	0.2640632529575175	0.0	1.0066181365107663	0.0726940747979103
170000	-1712.4054598069345	-1668.6683868268835	-43.73707298005095	-1668.6683868268835	10.673862375321125	1.0	0.025666290512629916	0.3886644072100945	0.6631733427357354	0.3368266572642649	-34.60422986805069	0.43320394510967136	0.49111463105159203	0.0	0.6452348304085145	0.08470387861621599
180000	-1702.3613086048092	-1664.1489380988235	-38.212370505985824	-1664.1489380988235	7.501450957081859	1.0	0.028940834531119924	0.3794456437818494	0.6111623407739546	0.38883765922604574	-29.103253934293136	0.30717531370355866	0.07256141321826624	0.0	0.7845283104366158	0.09912099324154545
190000	-1702.1733686198	-1663.285567825485	-38.88780079431487	-1663.285567825485	7.634367744006605	1.0	0.04066134595763872	0.5218218597465745	0.6458855316636465	0.35411446833635274	-29.461762437143705	0.42517754501141736	0.4487950409910531	0.0	0.845198862796187	0.08593015451198689
