#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kd-looms_pruned_filtered" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="bcov_alpha_prior.s:kd-looms_pruned_filtered" name="distribution">
#            <parameter id="bcov_alpha.s:kd-looms_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:kd-looms_pruned_filtered" name="distribution">
#            <parameter id="bcov_s.s:kd-looms_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="10.0">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="10.0">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Li.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Li" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Ha_Li" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Meifu_Li" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Qi_Li" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Run_Li" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="0.5" name="distr" upper="1.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.kd-lg-elaged-filtered" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@kd-looms_pruned_filtered" excludeto="1" filter="-" id="orgdata.kd-looms_pruned_filtered" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:kd-looms_pruned_filtered" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:kd-looms_pruned_filtered" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kd-looms_pruned_filtered" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kd-looms_pruned_filtered" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:kd-looms_pruned_filtered" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:kd-looms_pruned_filtered">
#                    <parameter dimension="2" id="frequencies.s:kd-looms_pruned_filtered" lower="0.0" name="vfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:kd-looms_pruned_filtered" lower="0.0" name="hfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@kd-looms_pruned_filtered" estimate="false" id="dummyfrequencies.s:kd-looms_pruned_filtered" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood.kd-looms_pruned_filtered	TreeHeight.t:tree	mutationRate.s:kd-looms_pruned_filtered	bcov_alpha.s:kd-looms_pruned_filtered	bcov_s.s:kd-looms_pruned_filtered	frequencies.s:kd-looms_pruned_filtered.1	frequencies.s:kd-looms_pruned_filtered.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	logP(mrca(Li))	mrca.age(Li)	clockRate.c:clock
0	-2316.490225816944	-2332.048734857676	-2316.4902258169413	-15.558509040734853	NaN	1.1681488436009781	1.0	0.8534187267632174	0.30079202225258156	0.5140870354608917	0.4859129645391082	-6.677935502399627	1.3991474285130001	0.2714459877526602	0.0	0.5849203162010486	6.386190134978768
1	-2286.436590687567	-2318.035714095533	-2286.436590687567	-31.59912340796625	NaN	3.9948367463075702	1.0	0.30099811951543903	0.12481644084201497	0.5380563932497767	0.46194360675022367	-23.571743568695403	0.46171321172157576	0.40352484326718285	0.0	0.5987121547949514	9.620646007784048
2	-2264.779522235869	-2285.5875489848836	-2264.7795222358686	-20.808026749014907	NaN	1.4631806210814018	1.0	0.7328505740511638	0.6474613123820492	0.5643375737052166	0.4356624262947833	-11.164478307683023	1.247122170530829	0.14291960491856592	0.0	0.8534537327256372	4.210574373948656
3	-2254.469801030912	-2274.314436101954	-2254.469801030912	-19.844635071041893	NaN	2.027760413965916	1.0	0.7370391964236226	0.30111920415228427	0.46638857511298326	0.5336114248870173	-10.96299602821302	1.710732625517868	0.0359040624821865	0.0	0.5706774535307837	1.507963366155229
4	-2249.666171778036	-2276.7238901229257	-2249.6661717780366	-27.057718344889125	NaN	3.0829918169991837	1.0	0.22250681769254274	0.8325974575751187	0.5223527446163436	0.4776472553836569	-17.15673961237984	1.0367916169372393	0.15139377688660208	0.0	0.8494205669496839	3.9784767752151553
5	-2239.080922514118	-2260.314382737078	-2239.0809225141184	-21.233460222959707	NaN	2.5949729456621484	1.0	0.5828469890426531	0.48149630102339275	0.539573939991036	0.4604260600089643	-11.887860751643277	0.7787987449218848	0.4589020325501445	0.0	0.8389481188944865	9.970814680933366
6	-2233.680109775482	-2260.9621994873246	-2233.680109775482	-27.28208971184279	NaN	2.0552016422050907	1.0	0.765423643547186	0.41071565546487926	0.5053564135912127	0.49464358640878764	-18.094615844391036	0.7205874101662277	0.4251351843473668	0.0	0.7959785897437008	7.638568695741974
7	-2209.593641134462	-2249.2596622821807	-2209.593641134462	-39.66602114771898	NaN	5.1650195950554805	1.0	0.7003608625616785	0.12410858856003557	0.5554576406526069	0.4445423593473935	-31.644115017456777	0.30073853287549945	0.06800280753416417	0.0	1.110837123308225	5.969720215162804
8	-2205.6940202301244	-2227.0166700750233	-2205.6940202301234	-21.322649844899825	NaN	1.9173916362062866	1.0	0.4225358753318225	0.9211569447359375	0.5071084531402644	0.4928915468597361	-11.316789023589433	1.0800715596427173	0.6232359109931005	0.0	0.5666196458170478	5.020534315545378
9	-2202.4713158355044	-2231.250554527249	-2202.4713158355044	-28.779238691744442	NaN	2.3068801406809487	1.0	0.9589477985309794	2.976234475612314	0.4825607895867921	0.5174392104132085	-17.45372555192002	0.9235153217845978	0.21002541724534823	0.0	1.1990522177107963	1.266944291809585
10	-2073.72621956939	-2101.744244118002	-2073.7262195693907	-28.018024548611287	NaN	2.0868987114256137	1.0	0.8769771638838296	4.54523872534178	0.5179959329260281	0.4820040670739728	-16.13336070286969	0.360569087730069	0.6438782094432803	0.0	0.581715923219492	1.3993182851881023
11	-2030.465208732814	-2043.1458209808943	-2030.465208732814	-12.680612248080156	NaN	1.1852733408575704	1.0	0.7119476537417753	0.24058226189359688	0.5159048418680019	0.48409515813199855	-4.018248829700839	1.5579352999817924	0.1538141225877926	0.0	0.5402262991892219	1.4105982527390661
12	-2009.3505790468594	-2024.431883916314	-2009.3505790468596	-15.081304869454506	NaN	1.3849705720910674	1.0	0.4924503212109363	0.07250512621697278	0.5262537096152347	0.4737462903847656	-7.575183734670323	2.0380896606016337	0.032940116023688105	0.0	0.8755816430881538	0.8772176994684495
13	-1989.253862592306	-2015.5954073690184	-1989.2538625923055	-26.341544776712894	NaN	2.6603231298555685	1.0	0.8316561408831016	0.18080106008643004	0.4944813767167158	0.5055186232832849	-17.956541005365462	0.5476466876233628	0.5214912059559346	0.0	0.8661535098802209	0.6662122490999248
14	-1968.0418414301419	-1978.2590652917684	-1968.0418414301416	-10.217223861626657	NaN	0.9427513823262648	1.0	0.30586431057627866	0.1488834426981057	0.5555930902694433	0.444406909730557	-2.0199337484622335	1.5335570283554174	0.4185292625956892	0.0	0.787365199639862	0.3882729333508912
15	-1907.6762035015329	-1929.1685942197705	-1907.6762035015329	-21.492390718237527	NaN	1.612882031296464	1.0	0.1099909513517381	0.22924699482850544	0.4562462340873651	0.5437537659126356	-12.877009796879387	0.7903371419183937	0.5585653504568079	0.0	0.5528665610963752	0.4242215052631495
16	-1849.77009504911	-1870.9278709052417	-1849.77009504911	-21.157775856131543	NaN	1.2411190213569747	1.0	0.6319514655410413	0.2702810224113595	0.5345604214116111	0.4654395785883891	-12.381862404850331	1.0879737675565224	0.07950036838296635	0.0	0.8479469037706282	0.2657584989094976
17	-1839.3895740919772	-1864.6511881716579	-1839.3895740919768	-25.2616140796811	NaN	2.503821379695148	1.0	0.1968850507618865	0.26021891955572546	0.5067862170912185	0.49321378290878226	-16.522748856801165	0.8430364116798964	0.1936758187717812	0.0	0.5432609318422024	0.37674904825345407
18	-1838.5074084415044	-1851.5368341856886	-1838.5074084415044	-13.02942574418418	NaN	0.7690961836125266	1.0	0.8613157901207313	0.6493156326401339	0.43838702767971033	0.5616129723202894	-3.382974972669686	1.9792672574815844	0.45265315473321444	0.0	0.5046534545097034	0.4465543135775502
19	-1824.175696955788	-1847.4506769889426	-1824.175696955788	-23.274980033154538	NaN	1.3677985864546842	1.0	0.5630348002465423	0.8431161804887778	0.4713494282106884	0.5286505717893115	-13.361022667370614	1.1147851730352725	0.06342501759410853	0.0	0.6053954090419382	0.3953152103487498
20	-1799.9446320729573	-1812.5185943715633	-1799.9446320729573	-12.573962298606029	NaN	0.7128621018218406	1.0	0.3312526435884618	0.5742869438960819	0.48119541638601687	0.5188045836139832	-3.051664669581241	1.6108720609592573	0.044580891541951294	0.0	0.5371012158250015	0.711152045754932
21	-1796.76666344235	-1823.5392113958674	-1796.76666344235	-26.772547953517552	NaN	2.2519876675013726	1.0	0.6853229146923762	0.07714635696843097	0.4260260682386157	0.5739739317613836	-19.207017958466135	0.6687601705888412	0.3585870485032946	0.0	0.6897104556187537	0.11079248230679455
22	-1793.459811113738	-1801.5744766556693	-1793.4598111137375	-8.11466554193174	NaN	0.7544797548811616	1.0	0.5891465057128996	0.3974042103856246	0.42877684501329055	0.5712231549867088	1.0401773274048098	2.328364471210687	0.04200282722386081	0.0	0.5770936389606675	0.49984637919543845
23	-1793.2201981483076	-1825.4941055755603	-1793.2201981483072	-32.27390742725307	NaN	3.142749037140729	1.0	0.6077104044666332	0.3105407428202421	0.4174664541929734	0.582533545807026	-23.36205777922166	0.9490367167576976	0.4642916560210081	0.0	0.5695428233825366	0.09928136554458827
24	-1786.9429376250162	-1801.7903238754432	-1786.9429376250164	-14.84738625042675	NaN	1.0102392787280305	1.0	0.6231872846354533	0.27247184744034536	0.37280292149139327	0.627197078508606	-6.063584314242501	1.5613480873147227	0.1339643297347669	0.0	0.736925244659862	0.2441303014540061
25	-1783.1847997986781	-1818.179929600317	-1783.1847997986781	-34.99512980163898	NaN	4.32572198559534	1.0	0.8419577044313755	0.612974383463074	0.39015142970038874	0.6098485702996108	-25.40702915469617	0.47866224838080806	0.28160216596078536	0.0	1.0745931903763841	0.1565493837256105
26	-1736.3475876725324	-1772.2042091008614	-1736.3475876725327	-35.856621428328815	NaN	3.297739938929511	1.0	0.19422529942027758	0.32147205924423283	0.4162581320854704	0.5837418679145291	-26.9108129019567	0.5763886061389427	0.1733795468941945	0.0	1.0154251647580925	0.1702535363755891
27	-1733.333425385871	-1739.2618173570638	-1733.3334253858702	-5.928391971193537	NaN	0.6329885114041717	1.0	0.4934422228691314	0.99268166249546	0.3768080607225105	0.6231919392774887	4.155661944225277	2.3385851669633353	0.08112320843033932	0.0	0.5678268647587071	0.6193187712585337
28	-1714.3937146476317	-1730.596769537176	-1714.3937146476314	-16.203054889544575	NaN	1.046477418006674	1.0	0.5033937643142753	0.14089182255347105	0.44962472038028933	0.5503752796197104	-8.058976726653341	1.7305709387589898	0.28413085690804374	0.0	0.5765239506847639	0.3470242754209315
29	-1709.5747844022553	-1746.2710027989808	-1709.574784402255	-36.6962183967257	NaN	2.5514739069793255	1.0	0.7533324906204258	0.20302253465911788	0.38100606773397483	0.6189939322660248	-28.198868791608106	1.2838732748506574	0.11769888247562096	0.0	0.7068525640008203	0.05862149567422761
30	-1708.2596584504984	-1739.3973695637721	-1708.2596584504984	-31.137711113273813	NaN	2.13448804615587	1.0	0.9507648531599268	0.16640418454437408	0.4039045739385377	0.5960954260614618	-22.83297578337433	0.7293028240155387	0.14052402180841733	0.0	1.0362504504208543	0.11136397767101443
31	-1706.2690736384939	-1734.7316558038945	-1706.2690736384939	-28.46258216540059	NaN	2.3509265260384042	1.0	0.2072423941881692	0.46234159102695116	0.4085577518853103	0.5914422481146889	-19.1574629938709	0.891142178196088	0.29131796615130656	0.0	1.009003642765975	0.11197540633817758
32	-1705.3071102025665	-1723.3438836780767	-1705.3071102025665	-18.03677347551021	NaN	0.8369410390518599	1.0	0.8856942422005779	0.8045648165103834	0.40483926541358844	0.5951607345864108	-8.171134320107138	0.987552858440545	0.5845407592174691	0.0	0.6562152500316213	0.21209012322243292
33	-1691.995779366497	-1724.5022059807166	-1691.9957793664971	-32.506426614219485	NaN	3.386536496103671	1.0	0.7821675410260736	0.11713727787560169	0.46503466237003305	0.5349653376299666	-24.540137432712726	0.6858847886352234	0.4955487291988946	0.0	0.7094398084439457	0.15158730210258997
34	-1691.7010037085945	-1704.950213059912	-1691.7010037085952	-13.249209351316757	NaN	1.0226475405231774	1.0	0.5564341200801899	0.5443070815329694	0.457503718784113	0.542496281215887	-3.7808445265936106	1.534827691097175	0.42422256580087	0.0	0.7796345206096162	0.27793572913853054
35	-1683.7023762517458	-1725.926553437088	-1683.7023762517454	-42.224177185342676	NaN	3.9383372214024353	1.0	0.24986015117647334	0.21749180988173156	0.39291682445529685	0.6070831755447027	-33.659978650305575	0.1871022570646581	0.7268082367324574	0.0	0.8620532843101665	0.0830387751425804
36	-1679.9964290445082	-1712.2783158131042	-1679.9964290445084	-32.28188676859568	NaN	3.1645283210203665	1.0	0.9121635203842756	0.15948535705020858	0.4687061685914934	0.5312938314085064	-24.018187506191573	0.5473542914986823	0.22823156004615847	0.0	0.9839634945474369	0.13604141777831485
37	-1677.7777901472816	-1706.5222743955214	-1677.7777901472816	-28.74448424823972	NaN	2.9058546892147756	1.0	0.45293004431306455	0.06138382534879751	0.4816255667556954	0.5183744332443043	-21.397660594888922	0.832256402404588	0.05174438974586799	0.0	0.5177009725635564	0.1239765854440933
38	-1668.4658025090039	-1712.1902801462284	-1668.4658025090039	-43.72447763722445	NaN	3.7860464130223206	1.0	0.9879567417652814	0.3236817740930495	0.5191568353424353	0.48084316465756405	-34.7719404284717	0.4222077892062023	0.6158393578015695	0.0	0.8944047067443726	0.06686497112422114
39	-1668.0652368478316	-1699.318630769156	-1668.0652368478316	-31.25339392132456	NaN	2.213973603220161	1.0	0.29761314036375547	0.1184943253596978	0.4873711837820495	0.5126288162179501	-23.27602645057786	0.26786351184837454	0.4259488297029591	0.0	0.7682411212575886	0.20284224317201283
40	-1652.2102224028033	-1683.1610809560689	-1652.2102224028035	-30.950858553265356	NaN	2.4451551610530813	1.0	0.3883943121842244	0.11030566608948426	0.5254655189564184	0.4745344810435816	-23.04233923699811	0.48162521985234347	0.45463238863476413	0.0	0.6819959095684671	0.1791539270978412
41	-1651.0050757358645	-1663.2958056724394	-1651.0050757358645	-12.290729936574923	NaN	0.961527736891048	1.0	0.1242115304154677	0.1828392475559352	0.535375569088741	0.46462443091125866	-3.894872820935044	1.928460016755273	0.4545458543738371	0.0	0.5901712867712224	0.8693890505757101
42	-1649.5081009844127	-1703.7651586790494	-1649.5081009844125	-54.257057694636856	NaN	9.09534187701393	1.0	0.4080879799449797	0.4077751187039552	0.466857869453614	0.5331421305463856	-45.07670391245435	0.16475685919813893	0.06846303637954326	0.0	1.1708659359219817	0.03368249129398092
43	-1643.9577615307226	-1678.6397680578652	-1643.9577615307226	-34.68200652714277	NaN	4.195790617689893	1.0	0.10449882470078671	0.05123292462861558	0.5302101854070074	0.46978981459299207	-27.5079237497314	0.2221726231319406	0.8293875652679111	0.0	0.5415099939396946	0.25854062073754963
44	-1643.6774975900912	-1667.6418905144333	-1643.6774975900912	-23.964392924342025	NaN	1.7808387561121946	1.0	0.6106515374662956	0.04111379670013865	0.5911841719058643	0.4088158280941356	-17.000358761279855	0.7730747110482836	0.8025193120273049	0.0	0.5776025127006135	0.2740999104563298
45	-1642.7385439677123	-1671.3300618100754	-1642.7385439677125	-28.591517842362904	NaN	1.8228490508571644	1.0	0.4984383631297928	1.277193333662687	0.39950769833433675	0.6004923016656629	-18.239603060079425	1.3233909607223515	0.05510623545203739	0.0	1.1785877933694058	0.1867645953314741
46	-1632.9844335675355	-1661.734908052343	-1632.9844335675355	-28.750474484807498	NaN	1.9558532521588368	1.0	0.9373045730019846	1.3029079838382378	0.38607048285454115	0.6139295171454584	-18.377051208635304	1.002312441224737	0.09677079304116139	0.0	0.8687342662351019	0.1268384528055302
47	-1624.8189746208757	-1646.627785829104	-1624.8189746208757	-21.808811208228292	NaN	1.4335514814077084	1.0	0.902481693311947	1.2928072893263804	0.44110050909541143	0.5588994909045886	-11.443791499799625	1.5895904170714157	0.11622528702141537	0.0	0.6234066275947541	0.24635741560419047
48	-1611.0406792971369	-1631.9240211096276	-1611.0406792971373	-20.88334181249016	NaN	1.5540449008528578	1.0	0.4669867055325182	1.155634631369573	0.37305985156754773	0.6269401484324519	-10.638597440080055	1.5207455343097374	0.07460519002077806	0.0	0.5746808103256332	0.20267943663109955
49	-1609.8284516586716	-1631.1858933815647	-1609.8284516586718	-21.357441722892773	NaN	1.5515361041167046	1.0	0.2796148635259758	0.2446363691033395	0.5918218871655053	0.4081781128344945	-12.678797611069804	1.1713290582189089	0.2913262006898074	0.0	0.7488971847761565	0.15648698379445136
50	-1590.003047511965	-1620.8309377790197	-1590.0030475119647	-30.82789026705491	NaN	2.4323692253057096	1.0	0.09171094752457062	2.7688598090041863	0.35795740597108117	0.6420425940289184	-19.591726718017195	0.7002844195347356	0.4445962580857134	0.0	0.529741781481472	0.10624554429613162
51	-1576.184801099419	-1594.852542895378	-1576.1848010994192	-18.667741795958843	NaN	1.1743669068298366	1.0	0.1969764484979305	3.074254290620399	0.35024251300052245	0.6497574869994769	-7.301643385716354	1.234459558999026	0.23534984296639844	0.0	0.5425083291624793	0.19615343448744343
52	-1568.644002152895	-1593.5933460787837	-1568.644002152895	-24.949343925888837	NaN	1.9596948662328866	1.0	0.5119894829970246	1.14164858277644	0.4608715874554252	0.5391284125445749	-14.717565657061684	0.8145377429971077	0.4751773011810166	0.0	0.5824132592096745	0.22376971451552008
53	-1565.8709754644074	-1590.5662599575041	-1565.8709754644071	-24.695284493097063	NaN	1.9186425142363857	1.0	0.6562714996138633	0.4767580834726686	0.5059517603144734	0.49404823968552664	-15.359553725377765	1.069817531117803	0.05555235452533676	0.0	0.5469411800296125	0.17146057658540695
54	-1562.9231431941191	-1602.0657642683084	-1562.9231431941191	-39.14262107418923	NaN	3.4049987916968876	1.0	0.316939634293102	7.12663601123658	0.3831107809933517	0.6168892190066477	-26.572546388743227	0.34110203039158793	0.387450744077533	0.0	0.941462585379341	0.05699156929003776
55	-1562.0015261776118	-1590.2177527316478	-1562.0015261776118	-28.216226554036023	NaN	2.0199122713638813	1.0	0.2801334382261987	1.0505578767048607	0.39129740772245	0.6087025922775491	-18.072551764171898	0.7602031939494512	0.24385075085277283	0.0	0.9822295377706167	0.1467409390517331
56	-1559.7772140865434	-1591.8767553363218	-1559.7772140865434	-32.09954124977834	NaN	3.155540130789767	1.0	0.6209658407599817	0.8313200126734491	0.46520695346860674	0.5347930465313931	-22.200148955374406	0.7634843761253676	0.3049272004852345	0.0	0.5533551328247639	0.14067181628425615
57	-1556.9709411277242	-1580.484988729605	-1556.9709411277245	-23.514047601880428	NaN	1.3064664910863688	1.0	0.3149539864270663	0.7170050441737509	0.3661434654705878	0.6338565345294117	-13.766622145912041	1.7326856897823084	0.14306946478231206	0.0	0.6370123489960684	0.14445251139776338
58	-1554.8977283212016	-1574.7911620224809	-1554.8977283212016	-19.89343370127926	NaN	1.4598007329466063	1.0	0.7943668227046322	3.5761735863094515	0.47915319066041273	0.520846809339587	-8.333473879707059	1.3789205915918776	0.5867941663980444	0.0	0.5075885596513043	0.3051936310306295
59	-1553.400748992251	-1578.569314283403	-1553.400748992251	-25.16856529115195	NaN	2.474995087311187	1.0	0.3344020804500591	0.2138059022161537	0.39712153837963693	0.6028784616203625	-16.620973307043318	1.1304512074489206	0.21507956310193832	0.0	0.7451725306924044	0.15178598220135842
60	-1545.4186550115373	-1576.1785122767142	-1545.4186550115373	-30.759857265176876	NaN	2.758396360980088	1.0	0.31958593010433634	0.5900113373136857	0.4647506194193425	0.5352493805806572	-21.21032524691897	0.7294249546402216	0.010458808516865738	0.0	0.7211034021565661	0.15931296302329856
61	-1542.0859477186614	-1584.3670362073697	-1542.0859477186614	-42.281088488708235	NaN	5.007894629838605	1.0	0.12641957517254174	1.6746033230948183	0.4491323490207545	0.5508676509792454	-31.63206692227773	0.4644041750453577	0.12889494088820788	0.0	0.8109289570620977	0.07016091400960053
62	-1538.8680476683971	-1566.9394472520783	-1538.8680476683974	-28.071399583680822	NaN	1.872032939371554	1.0	0.709676831792895	0.6715785134532241	0.47130603799606074	0.5286939620039389	-18.390696127645807	0.8298935046562839	0.2469311657602611	0.0	0.8797702831530384	0.14361094951489534
63	-1530.4625200875917	-1565.9544705455235	-1530.4625200875917	-35.49195045793181	NaN	3.9343562224314934	1.0	0.633382641039311	0.6507932192744617	0.4773465122698067	0.5226534877301926	-25.843192557936636	0.7435213525778845	0.11587383751978755	0.0	1.0588718125315486	0.1372728745978519
64	-1525.0155005351894	-1554.492554214211	-1525.0155005351894	-29.47705367902165	NaN	2.2730390141922463	1.0	0.9915365025489843	0.18254653828267162	0.534073653420575	0.4659263465794242	-21.08274791797991	0.6312937918931621	0.12832284409407896	0.0	0.8817575546385492	0.13029670880502928
65	-1516.2999191164347	-1543.5426626911626	-1516.2999191164345	-27.242743574728202	NaN	2.64739663831996	1.0	0.8462543268768201	0.3306456874766096	0.542463284734898	0.457536715265101	-18.269287783430826	0.6892273619612936	0.31594844855688525	0.0	0.7055752202291969	0.207886695346937
66	-1506.5148948625613	-1528.8285578873943	-1506.514894862561	-22.31366302483326	NaN	3.169314344953029	1.0	0.18008867630595357	0.31207351424871504	0.5463697324517229	0.4536302675482762	-13.396982610243322	0.8321416360772782	0.2856512707152639	0.0	0.8447693674786669	0.26437090472280306
67	-1505.658726398953	-1524.1795457641615	-1505.658726398953	-18.520819365208602	NaN	1.1368218109307255	1.0	0.6729269434294984	2.4390943130819798	0.47089561991347106	0.5291043800865285	-7.438100751342191	1.3047816420735692	0.3261054994949901	0.0	0.5513366999962412	0.26835063010177085
68	-1505.1454183107405	-1525.0390733359823	-1505.1454183107405	-19.893655025241685	NaN	1.4778794578074796	1.0	0.22502482811422964	0.2289925987148011	0.49325382956381514	0.5067461704361844	-11.27935434686089	1.2308627941799983	0.0987988388029237	0.0	0.5020832482694356	0.2663650688517948
