loom,lat,lon
NA,30.41904,120.2994
HlaiXifang,19.045,108.944
HlaiQiandui,18.86,109.66
HlaiZhongsha,18.75,109.18
HlaiBaisha,19.199,109.382
TswChiangmai,18.789,98.986
TswXamNuea,20.42,104.07
TswKorat,16.0458,103.667
TswMaiChau,20.6739,105.0128
TswTaiLuNaTam,22.2732135,103.6456778
TswQuanSon,20.27185,104.86793
TswKySon,19.44029,104.25122
TnQianxi,24.8872,104.9968
TcDebao,23.13,106.42
TswHuayao,24.351,102.548
TswYuanjiang,23.57681,101.99891
TswMangshi,22.08653,100.89698
TswPhake,27.4728327,94.9119621
TswTengchong,24.85878,98.66732
TcNapo,23.4851,105.87211
TcLongzhou,22.34277,106.85437
TcCaoBanTai,22.638,106.261
KsKamLP,26.1876,109.5079
KsKamRJ,25.924,109.153
KsMaonan,24.889,108.136
TnWuming,23.21,108.81
TnLibo,25.4646,108.2118
TcTayBanRang,22.24457,104.47815
TcTayLungNoi,22.89758,105.8154
