group,age
Kra-Dai,5.63605142193
Kam-Tai,3.6798418730300004
Tai-Yay,1.6827459440300006
Kra-Dai,7.4340951174
Kam-Tai,3.4809173989
Tai-Yay,1.7706498109000002
Kra-Dai,6.01711704322
Kam-Tai,3.8657018311199995
Tai-Yay,1.69219228512
Kra-Dai,5.07468925419
Kam-Tai,3.60519084729
Tai-Yay,1.72402789729
Kra-Dai,5.1782593684
Kam-Tai,2.4414206755
Tai-Yay,1.5413937113999996
Kra-Dai,4.2185335009
Kam-Tai,2.8166592308999996
Tai-Yay,1.7003445518999998
Kra-Dai,5.273219644299999
Kam-Tai,2.571771944399999
Tai-Yay,1.8301145384999993
Kra-Dai,6.323575269099999
Kam-Tai,2.119044291599999
Tai-Yay,1.7102412406999985
Kra-Dai,3.88903289879
Kam-Tai,2.28697137449
Tai-Yay,1.5936483313899998
Kra-Dai,4.15818418095
Kam-Tai,2.80182231735
Tai-Yay,2.1090606438500004
Kra-Dai,5.03562894537
Kam-Tai,3.05919543187
Tai-Yay,2.33176830367
Kra-Dai,4.8580462947
Kam-Tai,2.7343857475
Tai-Yay,2.1534855483
Kra-Dai,4.8181933546
Kam-Tai,2.3036482489
Tai-Yay,1.8449056430000002
Kra-Dai,4.0045660609
Kam-Tai,2.4650003281000004
Tai-Yay,1.9688904990000005
Kra-Dai,4.4471550744999995
Kam-Tai,1.9028192833999995
Tai-Yay,1.7442004553999997
Kra-Dai,4.515614756674699
Kam-Tai,2.146152961674699
Tai-Yay,1.800810646874699
Kra-Dai,3.3986725285999997
Kam-Tai,1.5743419628999997
Tai-Yay,1.3316273166999997
Kra-Dai,3.7745077953
Kam-Tai,1.8316932096
Tai-Yay,1.6274745138000002
Kra-Dai,5.727812941000001
Kam-Tai,2.3256138381000007
Tai-Yay,1.9365495433000008
Kra-Dai,4.0519346161000005
Kam-Tai,2.0689691879000005
Tai-Yay,1.7178497019000005
Kra-Dai,4.6320820858300005
Kam-Tai,2.153255308830001
Tai-Yay,1.6681549615300009
Kra-Dai,4.03634389335
Kam-Tai,1.8717877062499997
Tai-Yay,1.5852547686499996
Kra-Dai,3.09122669148
Kam-Tai,1.67476268298
Tai-Yay,1.47208998218
Kra-Dai,3.1294089000999996
Kam-Tai,1.9701202331999996
Tai-Yay,1.4937446193999997
Kra-Dai,4.146540428100001
Kam-Tai,2.8145926575000004
Tai-Yay,1.7769308065000007
Kra-Dai,3.6665743860000006
Kam-Tai,2.829635099900001
Tai-Yay,2.4673487059000005
Kra-Dai,4.0759592728
Kam-Tai,3.0770741817999996
Tai-Yay,2.6294147151999994
Kra-Dai,3.83580908138
Kam-Tai,3.83580908138
Tai-Yay,1.83105069318
Kra-Dai,3.5168782318
Kam-Tai,3.0668467651999998
Tai-Yay,1.9730784251999998
Kra-Dai,3.9104763020799997
Kam-Tai,3.9104763020799997
Tai-Yay,1.9505791762799998
Kra-Dai,3.0740051082799997
Kam-Tai,3.0740051082799997
Tai-Yay,2.26417008848
Kra-Dai,3.5015198847700004
Kam-Tai,2.7303986456700002
Tai-Yay,1.4020128886700007
Kra-Dai,4.369251215169999
Kam-Tai,2.8551886698699995
Tai-Yay,1.7305712858699995
Kra-Dai,4.3225210384
Kam-Tai,3.6538991127999996
