group,age
Kra-Dai,4.454686014370993
Kam-Tai,4.454686014370993
Tai-Yay,2.033127782803498
Kra-Dai,4.270381374869602
Kam-Tai,2.662004306533601
Tai-Yay,1.6525613959779077
Kra-Dai,3.4418385914393665
Kam-Tai,2.178034174576021
Tai-Yay,1.7315000222201422
Kra-Dai,3.37019849998371
Kam-Tai,1.927931853679892
Tai-Yay,1.4099663634922495
Kra-Dai,3.382776605807645
Kam-Tai,2.163993707279941
Tai-Yay,1.4748334219716857
Kra-Dai,2.1081006896926624
Kam-Tai,1.1208346797653954
Tai-Yay,1.1208346797653954
Kra-Dai,3.130542221460769
Kam-Tai,3.130542221460769
Tai-Yay,1.1624762952907206
Kra-Dai,1.8882409758102883
Kam-Tai,1.8882409758102883
Tai-Yay,1.0310265528073672
Kra-Dai,2.3556970521106853
Kam-Tai,1.7481355215471406
Tai-Yay,1.0996177491945924
Kra-Dai,2.731395812193938
Kam-Tai,1.9213682752190955
Tai-Yay,1.123849629644553
Kra-Dai,2.57482489018457
Kam-Tai,2.0507570976864944
Tai-Yay,1.1622223139952805
Kra-Dai,1.7436744254630916
Kam-Tai,1.7436744254630916
Tai-Yay,1.0185367118979383
Kra-Dai,1.6368811300620514
Kam-Tai,1.5093624584498926
Tai-Yay,1.1002408901887877
Kra-Dai,1.771293205979783
Kam-Tai,1.771293205979783
Tai-Yay,1.2217538561732435
Kra-Dai,2.0324317015220204
Kam-Tai,2.0324317015220204
Tai-Yay,1.2514473572552955
Kra-Dai,1.8239219372648683
Kam-Tai,1.8239219372648683
Tai-Yay,1.19862632564015
Kra-Dai,2.3043280127735595
Kam-Tai,2.3043280127735595
Tai-Yay,1.1913361767830906
Kra-Dai,1.9124166023051723
Kam-Tai,1.6044660243270557
Tai-Yay,1.0849042081704012
Kra-Dai,2.7274168765362656
Kam-Tai,2.7274168765362656
Tai-Yay,1.2617669348836866
Kra-Dai,2.3024346287872715
Kam-Tai,1.7972107863515152
Tai-Yay,1.3199343310756568
Kra-Dai,1.9477001775339828
Kam-Tai,1.9477001775339828
Tai-Yay,1.2592769384931057
Kra-Dai,2.7520020316367595
Kam-Tai,2.5705524847916346
Tai-Yay,1.2523857901139899
Kra-Dai,2.9521226721017975
Kam-Tai,2.9521226721017975
Tai-Yay,1.8997523324525125
Kra-Dai,3.122642437026609
Kam-Tai,3.122642437026609
Tai-Yay,1.4248813308233488
Kra-Dai,3.7921979130511496
Kam-Tai,3.7921979130511496
Tai-Yay,1.2282734798580703
Kra-Dai,2.948733381298894
Kam-Tai,2.948733381298894
Tai-Yay,1.0428676464549622
Kra-Dai,3.6013339619794755
Kam-Tai,3.6013339619794755
Tai-Yay,1.1938796292328098
Kra-Dai,3.3242635151063515
Kam-Tai,3.3242635151063515
Tai-Yay,1.7548246119604909
Kra-Dai,3.320275245312356
Kam-Tai,3.130882631091622
Tai-Yay,1.1590147505614263
Kra-Dai,3.060192157714607
Kam-Tai,2.948468412487211
Tai-Yay,1.6050493912494748
Kra-Dai,2.8489957447018774
Kam-Tai,2.8489957447018774
Tai-Yay,1.2828265078301373
Kra-Dai,3.64288272399061
Kam-Tai,3.64288272399061
Tai-Yay,1.6922294778515679
Kra-Dai,3.0092990109758184
Kam-Tai,3.0092990109758184
Tai-Yay,1.652715834495306
Kra-Dai,2.825660084075259
Kam-Tai,2.4961897106986792
Tai-Yay,1.5764152666281004
Kra-Dai,3.636127473955734
Kam-Tai,2.5605360537731037
Tai-Yay,1.7335174122741281
Kra-Dai,3.5436273428688376
Kam-Tai,1.9811031097363396
Tai-Yay,1.4266201983942368
Kra-Dai,3.02005903851068
Kam-Tai,2.003143838333246
Tai-Yay,1.338790384140232
Kra-Dai,2.869229971729795
Kam-Tai,2.859443988654251
Tai-Yay,1.235553230561494
Kra-Dai,3.1663649783369214
Kam-Tai,2.4464253885226115
Tai-Yay,1.2284736676178196
Kra-Dai,2.8614271560484363
Kam-Tai,1.8070261791639104
Tai-Yay,1.336175159400713
Kra-Dai,3.204210610849356
Kam-Tai,1.4669866476641993
Tai-Yay,1.1820605960972723
Kra-Dai,2.683447025910751
Kam-Tai,2.1871171883342915
Tai-Yay,1.497095533405105
Kra-Dai,2.6893889005719425
Kam-Tai,1.3249960533584604
Tai-Yay,1.2874445230103988
Kra-Dai,3.170964484883882
Kam-Tai,1.780835816022242
Tai-Yay,1.5782571255952726
Kra-Dai,2.938668710524264
Kam-Tai,1.677938055475473
Tai-Yay,1.4908617044097334
Kra-Dai,2.019463821916187
Kam-Tai,1.3996122149594004
Tai-Yay,1.2720657632441337
Kra-Dai,3.574421210095327
Kam-Tai,1.6884321119707537
Tai-Yay,1.475509890378591
Kra-Dai,3.186677313637683
Kam-Tai,3.186677313637683
Tai-Yay,1.541659979683134
Kra-Dai,2.6093578696117135
Kam-Tai,1.3253988782544086
Tai-Yay,1.3253988782544086
Kra-Dai,2.3162093500167105
