model,group,n_lgs,mean,median,sd,HPDI_lower,HPDI_upper,monophyletic
bcov_relaxed_ht_pos,Kra-Dai,102,5.580941444166959,5.333245032306594,1.6733158661672707,2.733288887977877,8.938396429281225,1
bcov_relaxed_ht_pos,Be-Kam-Tai,78,3.953035052837455,3.777932936921946,1.0762973224990922,2.2460843557736956,6.189697096979603,0.7610265526052661
bcov_relaxed_ht_pos,Kam-Tai,69,3.118204134649469,2.9895172293004943,0.7946811142886668,1.823444358458382,4.71172700473111,0.9116764803910676
bcov_relaxed_ht_pos,Tai-Yay,53,1.994014612338472,1.9452175664544473,0.37028501327121444,1.356112895290296,2.738066748129902,0.999666703699589
bcov_relaxed_uni,Kra-Dai,102,5.017296622605964,4.7983231384659035,1.4053828903384764,2.733514698486655,7.9876642168996455,1
bcov_relaxed_uni,Be-Kam-Tai,78,3.607797721482779,3.442697637924734,0.9643986737925013,2.0214031326496618,5.501039298744677,0.7814687256971448
bcov_relaxed_uni,Kam-Tai,69,2.9063962615037515,2.7764073434469485,0.7262739508176818,1.666187284739161,4.333989233716145,0.8755693811798689
bcov_relaxed_uni,Tai-Yay,53,1.8750119012497501,1.8284794414479828,0.32771930725606246,1.3142613231808336,2.5346428197264297,0.9992223086323742
bcov_strict_ht_pos,Kra-Dai,102,9.046461238118942,8.966266284953699,1.2527930395506148,6.587231925337151,11.393791396090178,1
bcov_strict_ht_pos,Be-Kam-Tai,78,4.122159814199999,4.085357501637049,0.5753523284705374,3.077736832080779,5.314164849787687,0.9986668147983557
bcov_strict_ht_pos,Kam-Tai,69,3.9412346659799784,3.9022475908063843,0.5526670560739011,2.8847054079310395,5.013187752816336,0.40739917786912566
bcov_strict_ht_pos,Tai-Yay,53,1.6161134243970743,1.6099418366093685,0.17315970470064015,1.2893990146242853,1.9557584745242824,1
bcov_strict_uni,Kra-Dai,102,8.07604425777674,8.008228128156317,1.0579921462802044,6.162741503623293,10.251202168935043,1
bcov_strict_uni,Be-Kam-Tai,78,3.7796872564654644,3.7443174405776496,0.49618530656443016,2.852773577706404,4.7684289223805205,0.9991112098655704
bcov_strict_uni,Kam-Tai,69,3.6750329607098426,3.6388786608247563,0.49067706965187935,2.7417898988084515,4.633153792922758,0.2909676702588601
bcov_strict_uni,Tai-Yay,53,1.5255100279233094,1.5164171552293695,0.15254006033054446,1.237507456839622,1.8302518671621,1
