concept,n_cogsets,mean,median,sd,HPDI_lower,HPDI_upper
S002_ashes,2,0.22015170155045094,0.189555829217374,0.12895684705822788,0.03423408243914877,0.5004677794459866
S004_belly,6,1.3444385659110625,1.2396269231157977,0.5642475274373814,0.4170593912583805,2.4498001601407613
S005_big,16,1.0703482229430592,1.0555743353877174,0.211185204511674,0.6799237448506853,1.486917487611366
S006_bird,3,0.5598865516674164,0.3943883328777335,0.5098374020213278,0.03014986028957667,1.5514534068825698
S007_bite,9,1.05919830275592,1.0338639229877904,0.26542088952098575,0.555347833569581,1.571541839062186
S008_black,7,0.7985852605725918,0.7558693839498623,0.3108614324025743,0.2635274484654403,1.423001440469906
S009_blood,3,0.3540702929012844,0.2534832832374804,0.3158380918124889,0.011099587899077834,1.003253218139239
S010_bone,3,0.8320000099276573,0.62993541797524355,0.7370769082534728,0.10392522798634785,2.107100316949813
S011_breast,15,2.1435286463885017,2.1256607130571656,0.39658170439645585,1.3271266789769878,2.9168911365620964
S012_burn.tr.,19,1.5603564957750518,1.5453591277691563,0.30397688334170997,1.0270976459446053,2.145564119239667
S013_claw,5,1.1644738363742133,1.0374484198169855,0.638746163982062,0.20232613667874466,2.4330278310483284
S014_cloud,2,0.7908713966976988,0.7044934415256388,0.38337823927378606,0.17962775619835236,1.5557234363208692
S015_cold,19,1.4200309036325771,1.4031120657061777,0.2533175479284083,0.8986987827834854,1.8805179345082252
S016_come,7,0.7501444822525237,0.7153973023624673,0.23620222455842532,0.3503599867242901,1.2278475074292863
S017_die,7,0.4237494905770485,0.3912763409152431,0.17653058064399232,0.12966109532374567,0.7557350778196101
S018_dog,3,0.5169061196307181,0.3887266220806893,0.4386301010927736,0.028651609734311023,1.370981630267587
S020_dry,3,1.7772349379604668,1.6118007413486866,0.8639963388363087,0.4482989342197416,3.434289447663838
S021_ear,4,0.5700438445447098,0.4640754721635024,0.40586541954120414,0.06746821761949966,1.3571188275130905
S022_earth,11,0.9881617031196398,0.9637779034627474,0.2612339708589385,0.5060507845970699,1.5031092399622163
S023_eat,7,0.7860413683181146,0.7317211538314294,0.33390870916312887,0.22199545562246045,1.4380845306623549
S024_egg,4,0.5117674809211468,0.45491989707962593,0.33294153664154047,0.051775849724239265,1.1307845491860087
S025_eye,2,0.9877252213072748,0.43586165119435416,1.933748984036117,0.001476216019239196,3.5770356692532532
S026_fat.n.,8,1.1133109807061403,1.0800659880727337,0.2888446069575842,0.5488837285007961,1.6683431015798016
