k,p
2.1516285801434947,0.001
1.6749469284103677,0.001
1.7027881111446403,0.001
2.1848726539662042,0.001
2.9279604576566305,0.001
3.270013842219567,0.001
1.1260074439222472,0.002
1.5580401600380305,0.001
1.0508012936111093,0.002
1.6084810399278509,0.002
1.374789260870718,0.001
2.8042090384793603,0.001
2.0605790988904014,0.002
3.0340597228002126,0.001
1.9785368961124752,0.001
1.5689236975369285,0.001
2.0860970500272544,0.001
2.136367484178626,0.001
1.4551567479932617,0.001
3.499757435802584,0.001
2.7799690222357722,0.001
3.070693993480794,0.001
1.3202482630256331,0.002
2.881138422321741,0.001
1.6464068082979115,0.001
1.751966657531583,0.002
3.36844137970614,0.001
1.6861575610498754,0.001
2.824871703697236,0.001
1.3446885502228323,0.001
2.556762646963898,0.001
1.9798383495324596,0.001
1.780626501678734,0.001
1.8793594963284872,0.001
1.930359906927784,0.002
1.4417704252973853,0.001
2.5631499144185708,0.001
2.102864816842457,0.001
2.3958889797478182,0.001
2.7894432288895135,0.001
3.0000021960230634,0.001
2.987494646746957,0.001
3.040518734928274,0.001
2.0026103787227902,0.001
3.200581552959103,0.001
2.785418082655154,0.001
2.115897612264769,0.001
1.6620137945490667,0.001
1.8507743990453576,0.001
2.2299895469379196,0.001
2.2571735698989897,0.001
2.4932976846501638,0.002
2.5171196746381126,0.001
2.486235026912242,0.001
2.11830024210286,0.001
2.5452815005567104,0.001
2.087770907720372,0.001
2.546790802711594,0.001
2.931898747480081,0.001
2.0376419179772514,0.001
2.2753796512543842,0.001
1.813358864765629,0.002
1.7738304610512035,0.001
2.4702958776171586,0.001
3.0371211259660775,0.001
3.8008338867533036,0.001
1.3350539858646435,0.001
1.7683322555962577,0.001
2.0405213613149282,0.001
2.114253908144011,0.001
2.742428386927373,0.001
1.6300384397151748,0.002
1.702353831049475,0.001
1.2222483188819424,0.001
1.7937666159794732,0.001
1.7915852946241444,0.001
2.083223236323,0.001
2.598016193411891,0.001
2.0028889900902267,0.001
1.4144274963607455,0.001
1.9870862319842584,0.001
1.899575031123067,0.002
1.65548210533075,0.002
2.136675836400333,0.001
2.9456130054508343,0.001
1.7430592605545785,0.001
2.7734692510487258,0.001
1.3831822448358557,0.001
1.8595710590876449,0.001
2.3425315569768275,0.001
1.7648735449742927,0.001
2.163706066035149,0.001
2.3343582915907333,0.001
1.4717915464831446,0.001
2.2311299813700827,0.002
3.409095534393599,0.001
3.065476632539869,0.001
2.516744583438678,0.001
1.7445372854780195,0.001
0.8772505373209879,0.001
1.7304241110480405,0.001
1.5050042443284306,0.001
2.1644573982728184,0.001
1.4991887672001314,0.001
2.2542841252537036,0.001
1.4074898007888648,0.002
2.3557209005109803,0.001
2.3692378300663375,0.001
2.8412776148557937,0.001
2.367505815968709,0.001
3.003088442636013,0.001
2.349200064857954,0.001
1.6150656942839188,0.001
2.4746763277953967,0.001
2.9324700193208826,0.001
2.216724793321158,0.001
1.9667897550551472,0.001
1.6169490019742283,0.001
2.631440422239156,0.002
2.90569329883717,0.001
2.395226796038931,0.002
1.637613406350688,0.001
2.638200659875233,0.001
2.0774877873411555,0.001
2.9371477291793453,0.001
1.8922527677853203,0.001
2.0414324635922996,0.001
2.059131428305316,0.001
2.416773909437571,0.001
