k,p
6.595908651253807,0.001
6.247146480196771,0.001
6.164931044357992,0.001
6.426900663034731,0.001
5.759641698294013,0.001
6.531636773120784,0.001
6.031190873472237,0.001
5.594619980891798,0.001
5.588520991658276,0.001
6.701840967256849,0.001
5.609767437813329,0.001
7.211888611514357,0.001
5.47436662734442,0.001
5.838998232800157,0.001
7.3118653383732175,0.001
6.085558762761554,0.001
5.319518199700265,0.001
5.087384328741402,0.001
5.030506164716331,0.001
4.333863868214923,0.001
6.655667700039382,0.001
5.77249456846788,0.001
5.54627059588729,0.001
4.6536032703091905,0.001
6.78085215468808,0.001
5.857339700766545,0.001
6.748196938506505,0.001
3.165389544814898,0.001
6.483850127382837,0.001
6.085456725851314,0.001
6.0897480470248695,0.001
7.329574438136706,0.001
5.633651555007758,0.001
5.022812601676147,0.001
4.9381068415227105,0.001
6.812396851499054,0.001
6.685068405719953,0.001
5.18641592857688,0.001
6.372542164958208,0.001
5.22205606141028,0.001
6.476036467667641,0.001
4.497447289550344,0.001
6.079462760986327,0.001
6.062241268986288,0.001
5.871881286185598,0.001
5.599200693779582,0.001
5.45642263630456,0.001
5.606529661678547,0.001
7.511550847450413,0.001
5.240102624403304,0.001
5.536857327872945,0.001
6.896190074614343,0.001
5.529279512595492,0.001
5.27118205557844,0.001
6.282399970186682,0.001
6.519089629972259,0.001
5.77003845049505,0.001
5.777629328606749,0.001
7.619192140299254,0.001
6.577479758968142,0.001
6.143024929877984,0.001
6.916199585372814,0.001
6.279704665396954,0.001
5.55154325957768,0.001
7.397543801214262,0.001
6.539601501708986,0.001
5.736714402229464,0.001
5.867262057364893,0.001
4.9658123102865375,0.001
7.003090816216545,0.001
5.851734515505613,0.001
6.055320924690603,0.001
6.584780280451011,0.001
5.97873777124429,0.001
6.28632555932141,0.001
5.236695528589566,0.001
6.355659040865691,0.001
5.062836605581938,0.001
5.868045295473787,0.001
6.174212876836998,0.001
7.738699178403437,0.001
6.390307917404522,0.001
5.231108096645651,0.001
5.00422724679774,0.001
7.224241628200814,0.001
7.20448845839324,0.001
6.626566543179342,0.001
6.751345729760937,0.001
7.1990458019591275,0.001
7.753392631483551,0.001
6.415167281243441,0.001
6.790917209136739,0.001
6.776614795934326,0.001
7.161656840243717,0.001
7.041135672481583,0.001
6.51619585057534,0.001
4.935407429605725,0.001
6.352541787939466,0.001
6.360762104742736,0.001
6.488663729750761,0.001
7.381707601677106,0.001
6.892239924411607,0.001
6.8580419360821026,0.001
7.192129773035636,0.001
6.426363845908531,0.001
6.21221611690802,0.001
7.1979143251216025,0.001
5.242215144497485,0.001
6.044272483913212,0.001
4.9427899362886265,0.001
5.92955933793614,0.001
6.719926983055723,0.001
5.859900068946073,0.001
6.540573704661589,0.001
7.02043959601289,0.001
5.85575844868024,0.001
5.636493584184959,0.002
5.628424596116271,0.001
5.5458317765244995,0.002
5.5731858571455,0.001
6.122950902701964,0.001
6.3638479223677376,0.001
5.5817610815468806,0.001
5.766657809010743,0.001
4.813809427106555,0.001
5.170484231895869,0.001
6.285384271479969,0.001
6.934781183506143,0.001
5.313845706609045,0.001
5.539941960711258,0.001
5.903233098412909,0.001
5.080785471337545,0.001
5.01232164555873,0.001
5.67094868281732,0.001
6.571546888836472,0.001
5.897402313475138,0.001
6.654463420362009,0.001
6.230268389163518,0.001
6.678603718964651,0.001
6.151778663531241,0.001
4.025857452100097,0.001
4.817443687863966,0.001
6.03259069034199,0.001
5.957009542014834,0.001
6.14711565830017,0.001
5.78536203627768,0.001
4.956701793567524,0.001
5.726496509822368,0.001
7.313091021013129,0.001
7.234064793731682,0.001
6.132168851232325,0.001
6.640325935005483,0.001
4.874473977086202,0.002
6.597785871126704,0.001
6.221146337195352,0.001
7.183571553732662,0.001
4.847562967024237,0.001
6.100729533397516,0.001
4.910534546777126,0.001
7.3053825087566135,0.001
7.391673065062896,0.001
5.9222818046507335,0.001
5.821118643472179,0.001
5.521908463649938,0.001
6.9367480395013885,0.001
7.2657856191936,0.001
5.115160679735995,0.001
6.256747315388035,0.001
5.746595441031368,0.001
5.113316335241677,0.001
7.200276208525003,0.001
5.631051877680626,0.001
4.961343274090262,0.001
5.204726624215578,0.001
5.10402520299295,0.001
6.904739341188749,0.001
4.213140212910499,0.001
5.135094458945814,0.001
5.161036736963119,0.001
4.886640880521797,0.001
6.001303171609331,0.001
6.08270145603378,0.001
6.963192914814674,0.001
6.385759408538077,0.001
7.072926738942009,0.001
5.991135587932584,0.001
5.811021668848972,0.001
6.44044861390423,0.001
