Character,Level
W01,1
W02,1
W04,1
W10,1
CBP,1
CB01,2
W13,1
WBP,1
W15,1
W16,2
F01,1
F01A,2
F02,2
F03,2
F04,2
F05,2
F07,1
F08,2
F09,2
F11,2
F12,2
F13,2
F14,2
F15,2
F15B,3
F17,2
F18,3
F18A,4
F19,3
F20,4
F21,3
F22,2
F22A,3
F23,2
F24,3
F25,3
F26,3
F27,3
F30,3
F30A,4
F31,2
F34,3
F34A,4
F40,2
F41,2
F42,2
F52,2
F55,2
F55A,3
F56,2
F60,2
F64,2
F64B,3
F64C,3
F64D,3
F64DA,4
F64DB,4
CB02,2
CB03,2
CB04,2
CB08,2
CB08C,3
CB08D,3
CB09,2
CB10,2
CB11,2
CB11B,3
CB12A,2
CB13,2
CB14,2
CB15,2
CB06,2
CB20,2
SR01,1
SR05,2
HG01,1
HG02,1
HG03,1
HG04,1
HG05,1
HG07,2
HG09,2
HG11,2
HG12,1
HC03,1
HC03A,2
HC03C,2
HC05,1
HC06,1
HC09,1
HC09A,2
HC10,2
HC11,2
HC12,2
HC13,2
HR05,1
HR06,2
HR06AA,3
HR06A,2
HR06B,2
HR07,2
HR08,3
HR09,3
HR10,3
HR12,2
HR13,2
HR13A,3
HR13C,3
HR13D,4
HR13E,4
HR13EE,4
HR13F,4
HR13G,3
HR13H,3
HR13J,3
HR14,2
HR14A,1
HR15,3
RR06,1
RR06A,2
RR08,2
RR08A,3
RR08C,3
RR08D,2
RR13,2
RR14,2
RR15,3
RR20,2
RR20A,3
RR20B,3
RR20E,4
FS01,1
FS04,2
FS05,3
FS06,3
FS10,3
TP01,1
TP02,2
TP02A,3
TP04,2
SP01,1
SP04,1
SP04C,2
SP04D,2
SP04A,2
SP05,2
SP06,2
SP07,3
SP11,2
MC01,1
YS02,1
YS03,1
YS05,1
YS06,2
YS07,2
YS08,1
YS10,2
YS10A,1
YS11,2
FM01,1
FM02,1
FM03,2
FM04,2
FM05,3
FM06,3
HP01,2
HP02,3
HP03,3
HP04,3
HP06,3
HP07,3
HP08,3
HP19,3
HP20,3
HP22,3
HP24,3
HP25,3
RP01,2
RP06,4
RT01,2
RT02,3
RT03,3
RT07,4
RW01,2
RW02,3
MH01,2
PS01,2
PS02,2
PS03,2
PS04,2
PS05,2
PS05A,3
PS05B,3
PS06,2
PS07,2
PS08,2
PS08A,3
PS09,2
PS10,2
PS11,2
PS12,2
PS13,3
PS14,2
PS15,2
PS15A,3
PS16,2
PS16A,3
PS16B,3
PS16C,3
PS17,2
PS18,2
PS18A,3
PS18B,3
PS18C,3
PS19,2
PS20,2
